EN,FR,ES,CS,DE,PL
airfare,billet d'avion,billete de avión,letenky,Flugticket,przelot
airplane,avion,avión,letadlo,Flugzeug,samolot
airport,aéroport,aeropuerto,letiště,Flughafen,lotnisko
amusement park,parc d'attractions,parque de atracciones,zábavní park,Vergnügungspark,park rozrywki
automobile,automobile,automóvil,automobil,Automobil,samochód
backpack,sac à dos,mochila,batoh,Rucksack,plecak
baggage,bagages,equipaje,zavazadla,Reisegepäck,bagaż
bags,sacs,bolsas,tašky,Taschen,torby
bathing suit,maillot de bain,traje de baño,plavky,Badeanzug,strój kąpielowy
beach,plage,playa,pláž,Strand,plaża
bicycle,bicyclette,bicicleta,jízdní kolo,Fahrrad,rower
bike,vélo,bicicleta,kolo,Fahrrad,rower
binoculars,jumelles,prismáticos,dalekohledy,Ferngläser,lornetka
boat,bateau,barco,loď,Boot,łódź
bus,bus,autobús,autobus,Bus,autobus
cab,cabine,cabina,kabina,Taxi,kabina
cabin,cabine,cabina,kabina,Kabine,kabina
camera,caméra,cámara,kamera,Kamera,kamera
campground,terrain de camping,camping,kemp,Zeltplatz,kemping
camping,camping,camping,kempování,Camping,kemping
car,voiture,coche,auto,Auto,samochód
carry-on,bagage à main,equipaje de mano,příruční zavazadlo,Handgepäck,przewożony
chart,tableau,gráfico,graf,Karte,wykres
coast,côte,costa,pobřeží,Küste,wybrzeże
cruise,croisière,crucero,výletní plavba,Kreuzfahrt,rejs
cruise ship,bateau de croisière,crucero,výletní loď,Kreuzfahrtschiff,statek wycieczkowy
currency,monnaie,divisa,měna,Währung,waluta
customs,douanes,aduana,celní správa,Zoll,zwyczaje
depart,Départ,salga de,odjezd,abreisen,odlot
departure,départ,salida,odjezd,Abreise,odlot
destination,destination,destino,destinace,Zielort,miejsce docelowe
downtime,temps d'arrêt,tiempo de inactividad,prostoje,Ausfallzeit,przestój
drive,conduire,conducir,pohon,Antrieb,napęd
embark,embarquer,embarque,nastoupit,einleiten.,embark
excursion,excursion,excursión,exkurze,Ausflug,wycieczka
expedition,expédition,expedición,expedice,Expedition,wyprawa
explore,explorer,explore,prozkoumat,erkunden.,odkrywać
ferry,bac,transbordador,trajekt,Fähre,prom
flew,voler,voló,letěl,flog,poleciał
flight,vol,vuelo,let,Flug,lot
fly,voler,mosca,fly,Fliege,latać
foreign,étranger,extranjero,zahraniční,Ausland,zagraniczny
foreigner,étranger,extranjero,cizinec,Ausländer,cudzoziemiec
garment bag,sac à vêtements,portatrajes,sáček na oděv,Kleidersack,worek na odzież
getaway,escapade,escapada,útěk,Flucht,ucieczka
go,aller,ir,přejít na,gehen.,iść
guide,guide,guía,průvodce,Leitfaden,przewodnik
guided tour,visite guidée,visita guiada,prohlídka s průvodcem,Besichtigung,wycieczka z przewodnikiem
hiatus,hiatus,hiato,přestávka,Hiatus,przerwa
highway,autoroute,carretera,dálnice,Autobahn,autostrada
hike,randonnée,senderismo,pěší túra,Wanderung,wędrówka
holiday,vacances,vacaciones,dovolená,Urlaub,wakacje
hostel,auberge,albergue,hostel,Herberge,hostel
hotel,hôtel,hotel,hotel,Hotel,hotel
inn,auberge,posada,hostinec,Gasthaus,zajazd
island,île,isla,ostrov,Insel,wyspa
itinerary,itinéraire,itinerario,itinerář,Reiseroute,plan podróży
jet,jet,jet,jet,jet,strumień
journey,voyage,viaje,cesta,Reise,podróż
keepsake,souvenir,recuerdo,památka,Andenken,pamiątka
knapsack,sac à dos,mochila,batoh,Rücksack,plecak
lake,lac,lago,jezero,See,jezioro
landing,atterrissage,aterrizaje,přistání,Landung,lądowanie
leave,quitter,dejar,opustit,verlassen,urlop
leisure,loisirs,ocio,volný čas,Freizeit,wypoczynek
lodge,loge,albergue,Lodge,Loge,loża
lodging,hébergement,alojamiento,ubytování,Unterbringung,zakwaterowanie
luggage,bagages,equipaje,zavazadla,Gepäck,bagaż
map,carte,mapa,mapa,Karte,mapa
motel,motel,motel,motel,Motel,motel
mountains,montagnes,montañas,hory,Berge,góry
museum,musée,museo,muzeum,Museum,muzeum
national park,parc national,parque nacional,národní park,Nationalpark,park narodowy
ocean liner,paquebot,transatlántico,zaoceánská loď,Ozeandampfer,transatlantyk
outdoors,à l'extérieur,al aire libre,venku,im Freien,na zewnątrz
overnight bag,sac de nuit,bolsa de viaje,noční taška,Übernachtungstasche,torba na noc
pack,paquet,envase,balení,packen,opakowanie
passage,passage,paso,průchod,Durchgang,przejście
passport,passeport,pasaporte,pas,Reisepass,paszport
photographs,photographies,fotografías,fotografie,Fotos,zdjęcia
photos,photos,fotos,fotografie,Fotos,zdjęcia
pictures,images,imágenes,obrázky,Bilder,zdjęcia
plane,avion,avión,letadlo,Flugzeug,samolot
port,port,puerto,přístav,Hafen,port
postcard,carte postale,postal,pohlednice,Postkarte,pocztówka
recreation,loisirs,ocio,rekreace,Erholung,rekreacja
red-eye,yeux rouges,ojos rojos,červené oči,Rote-Augen-Kontrolle,czerwone oko
relax,se détendre,relajarse,relaxace,entspannen,relaks
relaxation,détente,relajación,relaxace,Entspannung,relaks
reservations,réservations,reservas,rezervace,Reservierungen,rezerwacje
resort,centre de villégiature,resort,letovisko,Urlaubsort,ośrodek
rest,repos,resto,odpočinek,Rest,odpoczynek
restaurant,restaurant,restaurante,restaurace,Restaurant,restauracja
return,retour,devolver,vrátit,return,powrót
room,chambre,habitación,pokoj,Zimmer,pokój
sack,sac,saco,pytel,sack,worek
safari,safari,safari,safari,safari,safari
sail,voile,navegar,plachta,Segel,żagiel
scenery,paysage,paisaje,scenérie,Kulisse,sceneria
schedule,calendrier,horario,plán,Zeitplan,harmonogram
sea,mer,mar,moře,Meer,morze
seashore,bord de mer,orilla del mar,pobřeží,Meeresküste,wybrzeże
ship,navire,barco,loď,Schiff,statek
shore,rivage,orilla,pobřeží,Landseite,brzeg
sight-seeing,visites,visitas turísticas,prohlídka,Sightseeing,zwiedzanie
sights,vues,vistas,památky,Sehenswürdigkeiten,widoki
ski lodge,chalet de ski,albergue de esquí,lyžařská chata,Skihütte,schronisko narciarskie
souvenir,souvenir,recuerdo,suvenýr,Souvenir,pamiątka
stand-by,en attente,stand-by,pohotovostní režim,Bereitschaftsdienst,gotowość
state park,parc national,parque estatal,státní park,Staatspark,park stanowy
station,station,estación,stanice,Bahnhof,stacja
stay,séjour,permanezca en,zůstat,bleiben,pobyt
subway,métro,metro,metro,U-Bahn,metro
suitcase,valise,maleta,kufr,Koffer,walizka
sunscreen,crème solaire,protector solar,opalovací krém,Sonnenschutzmittel,filtr przeciwsłoneczny
swim,nager,nadar,plavání,Schwimmen,pływać
swimsuit,maillot de bain,bañador,plavky,Badeanzug,strój kąpielowy
takeoff,décollage,despegue,vzlet,Abflug,start
taxi,taxi,taxi,taxi,Taxi,taksówka
tent,tente,tienda,stan,Zelt,namiot
ticket,billet,billete,vstupenka,Ticket,bilet
tip,pointe,consejo,tip,Tipp,wskazówka
tote,fourre-tout,tote,tote,tote,torba
tour,tournée,visita,prohlídka,Tour,trasa
tour bus,bus de tourisme,autobús turístico,zájezdový autobus,Tourbus,autobus turystyczny
tour guide,guide touristique,guía turístico,průvodce,Reiseleiter,przewodnik
tourist,touristique,turista,turistické,Tourist,turysta
tourist trap,piège à touristes,trampa para turistas,past na turisty,Touristenfalle,pułapka turystyczna
trail,piste,sendero,stezka,Pfad,szlak
train,train,tren,vlak,Zug,pociąg
train station,gare,estación de tren,vlakové nádraží,Bahnhof,stacja kolejowa
tram,tramway,tranvía,tramvaj,Straßenbahn,tramwaj
tramway,tramway,tranvía,tramvaj,Straßenbahn,tramwaj
translate,traduire,traducir,přeložit,übersetzen,tłumaczyć
transportation,le transport,transporte,doprava,Transport,transport
travel,voyage,viaje,cestování,Reisen,podróż
travel agent,agent de voyage,agencia de viajes,cestovní kancelář,Reiseveranstalter,biuro podróży
travel bag,sac de voyage,bolsa de viaje,cestovní taška,Reisetasche,torba podróżna
trip,voyage,viaje,výlet,Reise,podróż
trunk,coffre,maletero,kmen,Kofferraum,bagażnik
umbrella,parapluie,paraguas,deštník,Regenschirm,parasol
unpack,déballer,desempaquetar,vybalit,auspacken,rozpakowanie
vacation,vacances,vacaciones,dovolená,Urlaub,wakacje
vehicle,véhicule,vehículo,vozidlo,Fahrzeug,pojazd
video,vidéo,vídeo,video,Video,wideo
video camera,caméra vidéo,videocámara,videokamera,Videokamera,kamera wideo
visa,visa,visado,víza,Visum,wiza
visit,visiter,visite,navštivte,besuchen Sie,wizyta
voyage,voyage,viaje,plavba,Reise,podróż
walk,marcher,caminar,procházka,Spaziergang,spacer
wander,errer,wander,putování,wandern,wędrówka
waterfall,chute d'eau,cascada,vodopád,Wasserfall,wodospad
waterpark,parc aquatique,parque acuático,aquapark,Wasserpark,park wodny
weekend,week-end,fin de semana,víkend,Wochenende,weekend
yacht,yacht,yate,jachta,Jacht,jacht
zoo,zoo,zoo,zoologická zahrada,zoo,zoo
