EN,FR,ES,CS,DE,PL
abaya,abaya,abaya,abaya,abaya,abaja
anorak,anorak,anorak,anorak,Anorak,anorak
apparel,vêtements,ropa,oblečení,Kleidung,odzież
apron,tablier,delantal,zástěra,Schürze,fartuch
ascot tie,cravate ascot,corbata ascot,kravata ascot,Ascot-Krawatte,krawat ascot
attire,tenue vestimentaire,atuendo,oblečení,Kleidung,strój
balaclava,cagoule,pasamontañas,kukla,Sturmhaube,kominiarka
ball gown,robe de bal,vestido de baile,plesové šaty,Ballkleid,suknia balowa
bandanna,bandana,pañuelo,šátek,Kopftuch,bandana
baseball cap,casquette de baseball,gorra de béisbol,baseballová čepice,Baseballkappe,czapka z daszkiem
bathing suit,maillot de bain,traje de baño,plavky,Badeanzug,strój kąpielowy
battledress,robe de combat,vestido de batalla,battledress,Kampfanzug,battledress
beanie,bonnet,gorrita,čepice,Mütze,czapka
bedclothes,linge de lit,ropa de cama,ložní prádlo,Bettwaren,pościel
bell-bottoms,pantalons à bretelles,pantalones de campana,zvonové kalhoty,Schlaghosen,spodnie dzwony
belt,ceinture,cinturón,řemen,Gürtel,pas
beret,béret,boina,baret,Baskenmütze,beret
Bermuda shorts,Bermuda,Bermudas,Bermudy,Bermudashorts,Spodenki bermudy
bib,bavoir,dorsal,bib,Lätzchen,śliniak
bikini,bikini,bikini,bikiny,Bikini,bikini
blazer,blazer,blazer,blejzr,Blazer,marynarka
bloomers,culotte bouffante,bombachos,květináče,Blümchen,bloomery
blouse,chemisier,blusa,halenka,Bluse,bluzka
boa,boa,boa,boa,boa,boa
bonnet,bonnet,capó,kapota,Motorhaube,maska
boot,botte,arranque,zavádění,boot,bagażnik
bow,arc,arco,luk,Bogen,łuk
bow tie,nœud papillon,pajarita,motýlek,Fliege,muszka
boxer shorts,caleçon boxeur,calzoncillos bóxer,boxerky,Boxershorts,bokserki
boxers,caleçons,boxeadores,boxerky,Boxershorts,bokserki
bra,soutien-gorge,sujetador,podprsenka,BH,stanik
bracelet,bracelet,pulsera,náramek,Armband,bransoletka
brassiere,soutien-gorge,sujetador,podprsenka,Büstenhalter,biustonosz
breeches,culotte,calzones,breeches,Reithosen,bryczesy
briefs,slip,braguitas,slipy,Schriftsätze,majtki
buckle,boucle,hebilla,přezka,Schnalle,klamra
button,bouton,botón,tlačítko,Taste,przycisk
button-down shirt,chemise à boutons,camisa abotonada,košile s knoflíky,Button-Down-Hemd,koszula zapinana na guziki
caftan,caftan,caftán,kaftan,Kaftan,kaftan
camisole,camisole,camisola,camisole,Mieder,kamizelka
