EN,FR,ES,CS,DE,PL
acorn squash,courge de gland,calabaza bellota,žaludová dýně,Eichelkürbis,kabaczek żołędziowy
alfalfa sprouts,germes de luzerne,brotes de alfalfa,klíčky vojtěšky,Alfalfasprossen,kiełki lucerny
almond,amande,almendra,mandle,Mandel,migdał
anchovy,anchois,anchoa,ančovičky,Anchovis,sardela
anise,anis,anís,anýz,Anis,anyż
appetite,l'appétit,apetito,chuť k jídlu,Appetit,apetyt
appetizer,apéritif,aperitivo,předkrm,Vorspeise,przystawka
apple,pomme,manzana,jablko,Apfel,jabłko
apricot,abricot,albaricoque,meruňka,Aprikose,morela
artichoke,artichaut,alcachofa,artyčok,Artischocke,karczoch
asparagus,asperges,espárragos,chřest,Spargel,szparagi
aspic,aspic,aspic,aspik,Aspik,osika
ate,mangé,comió,ate,aß,zjedzony
avocado,avocat,aguacate,avokádo,Avocado,awokado
bacon,lard,bacon,slanina,Speck,bekon
bagel,bagel,panecillo,bagel,Bagel,bajgiel
bake,cuisson,hornear,pečení,backen,wypiek
baked Alaska,Alaska au four,Alaska al horno,pečená Aljaška,gebackene Alaska,pieczona Alaska
bamboo shoots,pousses de bambou,brotes de bambú,bambusové výhonky,Bambussprossen,pędy bambusa
banana,banane,plátano,banán,Banane,banan
barbecue,barbecue,barbacoa,grilování,Grill,grill
barley,orge,cebada,ječmen,Gerste,jęczmień
basil,basilic,albahaca,bazalka,Basilikum,bazylia
batter,pâte à modeler,bateador,těsto,Teig,ciasto
beancurd,beancurd,galletas,beancurd,Bohnenkraut,beancurd
beans,haricots,judías,fazole,Bohnen,fasola
beef,bœuf,ternera,hovězí maso,Rindfleisch,wołowina
beet,betterave,remolacha,řepa,Rüben,burak
bell pepper,poivron,pimiento,paprika,Paprika,papryka
berry,baie,baya,bobule,Beeren,jagoda
biscuit,biscuit,galleta,sušenka,Kekse,herbatnik
bitter,amer,amargo,hořký,bitter,gorzki
black beans,haricots noirs,alubias negras,černé fazole,schwarze Bohnen,czarna fasola
black tea,thé noir,té negro,černý čaj,Schwarzer Tee,czarna herbata
black-eyed peas,pois à œil noir,guisantes negros,hrách s černýma očima,schwarzäugige Erbsen,groszek czarnooki
