word,FR,ES,CS,DE,PL
armchair,fauteuil,sillón,křeslo,Sessel,fotel
armoire,armoire,armario,armoire,Kleiderschrank,szafa
bar stool,tabouret de bar,taburete de bar,barová židle,Barhocker,stołek barowy
bassinet,couffin,moisés,kolébka,Stubenwagen,gondola
beach chair,chaise de plage,silla de playa,plážové křeslo,Strandkorb,krzesło plażowe
bean bag chair,chaise en forme de sac à dos,sillón bean bag,židle z pytle na fazole,Sitzsack,fotel worek fasoli
bed,lit,cama,postel,Bett,łóżko
bed table,table de lit,mesa de cama,postelový stůl,Betttisch,stolik do łóżka
bench,banc,banco,lavice,Bank,ławka
bentwood rocker,fauteuil à bascule en bois courbé,mecedora de madera curvada,houpačka z ohýbaného dřeva,Bugholz-Wippe,bujak z drewna giętego
bergere,bergère,bergere,bergere,bergere,bergere
bookcase,bibliothèque,estantería,knihovna,Bücherregal,regał
bookshelf,bibliothèque,estantería,regál,Bücherregal,regał
breakfront,front de taille,frente de separación,Breakfront,breakfront,front
buffet,buffet,buffet,bufet,Buffet,bufet
bunk bed,lit superposé,litera,patrová postel,Etagenbett,łóżko piętrowe
bureau,bureau,escritorio,kancelářský stůl,büro,biuro
cabinet,armoire,armario,skříň,Schrank,szafka
canopy bed,lit à baldaquin,cama con dosel,postel s baldachýnem,Himmelbett,łóżko z baldachimem
captain's chair,chaise de capitaine,silla de capitán,kapitánské křeslo,Kapitänsstuhl,fotel kapitański
card table,table à cartes,mesa de cartas,karetní stolek,Kartentisch,stolik na karty
carpet,tapis,alfombra,koberec,Teppich,dywan
cart,chariot,carro,vozík,Wagen,wózek
chair,chaise,silla,židle,Stuhl,krzesło
chaise lounge,chaise longue,tumbona,lehátko,Chaiselongue,szezlong
chandelier,lustre,lámpara de araña,lustr,Kronleuchter,żyrandol
chest,coffre,arcón,truhla,Truhe,skrzynia
chest of drawers,commode,cómoda,komoda,Schubladenschrank,komoda
china cabinet,vaisselier,mueble chino,skříňka na porcelán,Porzellanschrank,szafka na porcelanę
clothes valet,valet de chambre,guardarropa,oděvní komorník,Kleiderständer,szafa na ubrania
club chair,fauteuil club,silla club,klubové křeslo,Klubsessel,fotel klubowy
coffee table,table basse,mesa de centro,konferenční stolek,Couchtisch,stolik kawowy
console,console,consola,konzole,Konsole,konsola
cot,lit d'enfant,cuna,dětská postýlka,Kinderbett,łóżeczko
couch,canapé,sofá,pohovka,Couch,kanapa
cradle,berceau,cuna,kolébka,Wiege,kołyska
credenza,crédence,aparador,credenza,Kredenz,kredens
crib,berceau,cuna,dětská postýlka,Krippe,łóżeczko
cubbies,armoires,cubbies,skříňky,Schränke,kubiki
cupboard,armoire,armario,skříň,schrank,szafka
curio,curio,curiosidades,kuriozity,Kuriositäten,curio
curtains,rideaux,cortinas,záclony,Vorhänge,zasłony
cushion,coussin,cojín,polštář,Kissen,poduszka
deck chair,chaise longue,tumbona,lehátko,Liegestuhl,leżak
desk,bureau,escritorio,stůl,Schreibtisch,biurko
desk chair,chaise de bureau,silla de escritorio,stolní židle,Schreibtischstuhl,krzesło do biurka
dining room table,table de salle à manger,mesa de comedor,jídelní stůl,Esszimmertisch,stół do jadalni
director's chair,chaise de directeur,silla de director,ředitelské křeslo,Regiestuhl,krzesło reżyserskie
display cabinet,vitrine,vitrina,vitrína,Vitrine,gablota
divan,divan,diván,divan,Diwan,tapczan
drapery,draperie,cortinas,záclony,Vorhang,draperia
drapes,rideaux,cortinas,závěsy,Vorhänge,zasłony
dresser,commode,cómoda,komoda,Kommode,komoda
easel,chevalet,caballete,stojan,Staffelei,sztaluga
easy chair,chaise facile,butaca,lehké křeslo,Sessel,proste krzesło
end table,table d'appoint,mesa auxiliar,koncový stolek,Beistelltisch,stolik końcowy
fauteuil,fauteuil,fauteuil,fauteuil,fauteuil,fauteuil
file cabinet,armoire à dossiers,archivador,kartotéka,Aktenschrank,szafka na akta
folding chair,chaise pliante,silla plegable,skládací židle,Klappstuhl,krzesło składane
folding screen,paravent,biombo,skládací zástěna,Paravent,składany ekran
footrest,repose-pieds,reposapiés,podnožka,Fußstütze,podnóżek
footstool,pouf,escabel,podnožka,Fußhocker,podnóżek
four-poster bed,lit à baldaquin,cama con dosel,postel s nebesy,Himmelbett,łóżko z baldachimem
furnishings,mobilier,mobiliario,nábytek,Einrichtungsgegenstände,umeblowanie
furniture,meubles,muebles,nábytek,Möbel,meble
futon,futon,futón,futon,Futon,futon
game table,table de jeu,mesa de juego,herní stůl,Spieltisch,stół do gier
garden bench,banc de jardin,banco de jardín,zahradní lavice,Gartenbank,ławka ogrodowa
gateleg table,table gigogne,mesa gateleg,stůl s podnožkou,Pförtnertisch,stół z nogami
glider rocker,fauteuil à bascule,balancín deslizante,houpací kluzák,Gleiter-Wippe,bujak szybowiec
grandfather clock,horloge grand-père,reloj de pie,dědečkovy hodiny,Großvateruhr,zegar dziadek
hall tree,arbre d'entrée,árbol del vestíbulo,strom v předsíni,Dielenbaum,drzewo do przedpokoju
hammock,hamac,hamaca,houpací síť,Hängematte,hamak
hassock,chaussette,hassock,hassock,Hocker,skarpeta
hat stand,porte-chapeau,perchero,stojan na klobouky,Hutständer,stojak na kapelusze
headboard,tête de lit,cabecero,čelo postele,Kopfteil,zagłówek
highchair,chaise haute,trona,vysoká židlička,Hochstuhl,krzesełko
hope chest,coffret espoir,arcón de la esperanza,truhla naděje,Aussteuertruhe,skrzynia nadziei
hutch,huche,conejera,hutch,Hutchinson,hutch
island,île,isla,ostrov,Insel,wyspa
kitchen island,îlot de cuisine,isla de cocina,kuchyňský ostrov,Kücheninsel,wyspa kuchenna
ladderback chair,chaise à dossier échelonné,silla con respaldo de escalera,židle s žebříkovým opěradlem,Stuhl mit Leiterlehne,krzesło z oparciem drabinkowym
lamp,lampe,lámpara,lampa,Lampe,lampa
lawn chair,chaise de jardin,silla de jardín,židle na trávník,Gartenstuhl,krzesło trawnikowe
lift chair,chaise élévatrice,sillón elevador,zvedací křeslo,Liftsessel,krzesło podnoszone
light,lumière,luz,světlo,Licht,światło
lintel,linteau,dintel,nadpraží,Sturz,nadproże
lounge chair,chaise longue,tumbona,křeslo do obývacího pokoje,Loungesessel,fotel wypoczynkowy
lounger,chaise longue,tumbona,lehátko,Liege,leżak
love seat,siège d'amour,love seat,milostná sedačka,Schlafsessel,fotel
mantle,manteau,manto,plášť,Kaminsims,płaszcz
mattress,matelas,colchón,matrace,Matratze,materac
mirror,miroir,espejo,zrcadlo,Spiegel,lustro
Murphy bed,Lit Murphy,Cama Murphy,Murphyho postel,Schrankbett,Łóżko w szafie
nightstand,table de nuit,mesilla de noche,noční stolek,Nachttisch,szafka nocna
office chair,chaise de bureau,silla de oficina,kancelářská židle,Bürostuhl,krzesło biurowe
ottoman,ottoman,otomana,otoman,Ottomane,otomana
pantry,garde-manger,despensa,spíž,Speisekammer,spiżarnia
park bench,banc de parc,banco de parque,lavička v parku,Parkbank,ławka parkowa
patio chair,chaise de patio,silla de patio,židle na terasu,Terrassenstuhl,krzesło tarasowe
patio table,table de patio,mesa de patio,stůl na terasu,Terrassentisch,stół tarasowy
pew,banc,banco,lavice,Kirchenbank,ławka
piano bench,banc de piano,banco para piano,klavírní lavice,Klavierbank,ława fortepianowa
picnic table,table de pique-nique,mesa de picnic,piknikový stůl,Picknicktisch,stół piknikowy
pillow,oreiller,almohada,polštář,kissen,poduszka
porch swing,balançoire de porche,columpio de porche,houpačka na verandě,Verandaschaukel,huśtawka gankowa
rack,étagère,estantería,regál,Regal,regał
recliner,fauteuil inclinable,sillón reclinable,polohovací křeslo,Liegestuhl,leżanka
rocking chair,fauteuil à bascule,mecedora,houpací křeslo,Schaukelstuhl,fotel bujany
room divider,séparateur de pièce,separador de ambientes,rozdělovač místností,Raumtrenner,dzielnik pokoju
rug,tapis,alfombra,koberec,teppich,dywan
sconce,applique,candelabro,svícny,Wandleuchter,kinkiet
screen,écran,pantalla,obrazovka,Bildschirm,ekran
seat,siège,asiento,sedadlo,Sitz,siedzisko
secretary,secrétaire,secretaria,sekretář,Sekretärin,sekretarka
sectional sofa,canapé sectionnel,sofá seccional,sekční pohovka,Sektionssofa,sofa segmentowa
settee,canapé,sofá,sedací souprava,Sitzgarnitur,kanapa
shelf,étagère,estantería,police,Regal,półka
shoji screen,écran shoji,biombo shoji,zástěna shoji,Shoji-Leinwand,ekran shoji
sideboard,buffet,aparador,příborník,Anrichte,kredens
sleeper sofa,canapé-lit,sofá cama,pohovka na spaní,Schlafsofa,sofa z funkcją spania
sofa,canapé,sofá,pohovka,Sofa,sofa
