EN,FR,ES,CS,DE,PL
amphora,amphore,ánfora,amfora,Amphore,amfora
attachÃ© case,Attaché-case,maletín,kufřík s přílohami,Aktenkoffer,etui na dokumenty
backpack,sac à dos,mochila,batoh,Rucksack,plecak
bag,sac,bolsa,taška,Tasche,torba
baggage,bagages,equipaje,zavazadla,Reisegepäck,bagaż
barrel,tonneau,barril,sud,Fass,beczka
basin,bassin,cuenca,povodí,Einzugsgebiet,basen
basket,panier,cesta,koš,Korb,kosz
beaker,bécher,vaso,kádinka,Becherglas,zlewka
bin,poubelle,papelera,bin,bin,kosz
bottle,bouteille,botella,láhev,Flasche,butelka
bowl,cuvette,cuenco,mísa,Schale,miska
box,boîte,caja,box,Box,pudełko
briefcase,porte-documents,maletín,kufřík,Aktentasche,teczka
bucket,seau,cubo,kbelík,Eimer,wiadro
cabinet,armoire,armario,skříň,Schrank,szafka
can,peut,puede,může,kann,puszka
canister,bidon,bote,kanystr,Kanister,kanister
canteen,cantine,comedor,jídelna,Kantine,stołówka
carafe,carafe,jarra,karafa,Karaffe,karafka
carrier,transporteur,portador,nosič,Träger,przewoźnik
carryall,porter,transportín,carryall,Reisetasche,carryall
carton,carton,cartón,karton,Karton,karton
case,cas,caso,případ,Fall,przypadek
cask,tonneau,barrica,sud,Fass,beczka
casket,cercueil,ataúd,rakev,Sarg,trumna
chest,poitrine,pecho,hrudník,Brust,skrzynia
coffer,caisson,cofre,kazeta,coffer,kaseton
compote,compote,compota,kompot,Kompott,kompot
cone,cône,cono,kužel,Kegel,stożek
container,conteneur,contenedor,kontejner,Container,pojemnik
cooler,refroidisseur,refrigerador,chladič,Kühler,chłodnica
crate,caisse,caja,bedna,Kiste,skrzynia
crock,mijoteuse,crock,crock,Topf,garnek
cruet,burette,vinagrera,cruet,cruet,cruet
cube,cube,cubo,kostka,Würfel,kostka
depository,dépositaire,depositario,depozitář,Verwahrstelle,depozyt
dish,plat,plato,nádobí,Gericht,danie
drawer,tiroir,cajón,zásuvka,Schublade,szuflada
drum,tambour,tambor,buben,Trommel,bęben
enclosure,enceinte,recinto,skříň,Gehäuse,obudowa
envelope,enveloppe,sobre,obálka,Briefumschlag,koperta
ewer,aiguière,Aguamanil,ewer,ewer,ewer
file folder,dossier de fichiers,carpeta de archivos,složka souborů,Dateiordner,folder plików
flask,flacon,matraz,baňka,Fläschchen,kolba
folder,dossier,carpeta,složka,Ordner,folder
garbage can,poubelle,cubo de basura,odpadkový koš,Mülleimer,pojemnik na śmieci
glass,verre,vidrio,sklo,Glas,szkło
goblet,gobelet,copa,pohár,Kelch,puchar
grocery bag,sac d'épicerie,bolsa de la compra,taška na potraviny,Einkaufstasche,torba spożywcza
hamper,panier,cesta,koš na prádlo,Körbchen,kosz
handbag,sac à main,bolso,kabelka,Handtasche,torebka
holder,détenteur,soporte,držák,Halterung,posiadacz
hopper,trémie,tolva,násypka,Trichter,zbiornik
hutch,clapier,conejera,hutch,Stall,hutch
ice bucket,seau à glace,cubitera,kbelík na led,Eiskübel,wiaderko na lód
jar,bocal,tarro,jar,Krug,słoik
jug,cruche,jarra,džbán,Krug,dzbanek
knapsack,sac à dos,mochila,batoh,Rücksack,plecak
locker,casier,taquilla,skříňka,Schließfach,szafka
luggage,bagages,equipaje,zavazadla,Gepäck,bagaż
lunchbox,boîte à lunch,fiambrera,krabička na oběd,Brotdose,lunchbox
milk crate,caisse de lait,caja de leche,bedna na mléko,Milchkiste,skrzynka na mleko
packet,paquet,paquete,paket,Paket,pakiet
pail,seau,cubo,kbelík,Eimer,wiadro
pan,casserole,pan,pan,pan,patelnia
paper bag,sac en papier,bolsa de papel,papírový sáček,Papiertüte,torba papierowa
plastic bag,sac en plastique,bolsa de plástico,plastový sáček,Plastiktüte,plastikowa torba
plate,assiette,placa,deska,Platte,płyta
pocket,poche,bolsillo,kapesní,Tasche,kieszeń
pod,nacelle,vaina,pod,pod,pod
pot,marmite,olla,hrnec,Topf,garnek
pouch,pochette,bolsa,sáček,Beutel,etui
purse,sac à main,monedero,kabelka,Geldbörse,torebka
rack,support,estante,stojan,Gestell,stojak
receptacle,réceptacle,receptáculo,nádoba,Steckdose,gniazdo
sack,sac,saco,pytel,sack,worek
saddlebag,sacoche,alforja,sedlová brašna,Satteltasche,pokrowiec na siodło
satchel,sacoche,cartera,satchel,Schulranzen,tornister
saucer,soucoupe,platillo,talíř,Untertasse,spodek
stein,stéine,stein,stein,stein,stein
suitcase,valise,maleta,kufr,Koffer,walizka
test tube,éprouvette,tubo de ensayo,zkumavka,Reagenzglas,probówka
tin,étain,estaño,cín,Zinn,cyna
tote,fourre-tout,tote,tote,tote,torba
trash bin,poubelle,papelera,koš na odpadky,Mülleimer,kosz na śmieci
tray,plateau,bandeja,zásobník,Tablett,taca
trunk,coffre,maletero,kmen,Kofferraum,bagażnik
tub,baignoire,bañera,vana,Wanne,wanna
tube,tube,tubo,trubka,Rohr,tuba
tun,accord,tun,tun,tun,tun
tureen,tureen,sopera,tureen,Terrine,waza
urn,urne,urna,urna,Urne,urna
vase,vase,jarrón,váza,Vase,wazon
vat,vat,iva,DPH,MwSt.,vat
vault,coffre-fort,bóveda,trezor,Tresor,skarbiec
vesicle,vésicule,vesícula,vezikuly,Bläschen,pęcherzyk
vessel,navire,recipiente,nádoba,Schiff,statek
vial,flacon,vial,lahvička,Fläschchen,fiolka
wastebasket,corbeille à papier,papelera,odpadkový koš,Papierkorb,kosz na śmieci
water bottle,bouteille d'eau,botella de agua,láhev na vodu,Wasserflasche,butelka na wodę
