word,FR,ES,CS,DE,PL
adoption,adoption,adopción,adopce,Adoption,przyjęcie
adoptive father,père adoptif,padre adoptivo,adoptivní otec,Adoptivvater,przybrany ojciec
adoptive mother,mère adoptive,madre adoptiva,adoptivní matka,Adoptivmutter,matka adopcyjna
ancestor,ancêtre,antepasado,předek,Vorfahr,przodek
aunt,tante,tía,teta,Tante,ciotka
bachelor,célibataire,licenciado,bakalářský,bachelor,kawaler
birth mother,mère biologique,madre biológica,rodička,leibliche Mutter,matka biologiczna
blood relative,parent par le sang,pariente consanguíneo,pokrevní příbuzný,Blutsverwandter,krewny
bride,mariée,novia,nevěsta,braut,panna młoda
bridegroom,marié(e),novio,ženich,Bräutigam,oblubieniec
brother,frère,hermano,bratr,Bruder,brat
brother-in-law,beau-frère,cuñado,švagr,Schwager,szwagier
brotherhood,fraternité,hermandad,bratrství,Bruderschaft,braterstwo
brotherly,fraternel,fraternal,bratrský,brüderlich,braterski
care-giver,soignant,cuidador,pečující osoba,Betreuungsperson,opiekun
child,enfant,niño,dítě,Kind,dziecko
childhood,l'enfance,infancia,dětství,Kindheit,dzieciństwo
children,enfants,niños,děti,Kinder,dzieci
clan,clan,clan,klan,Clan,klan
close-knit,proche de la famille,unida,úzká vazba,engmaschig,zwarty
connection,connexion,conexión,připojení,Verbindung,połączenie
cousin,cousin,primo,bratranec,Cousine,kuzyn
dad,père,papá,táta,Papa,tata
daddy,papa,papá,tatínek,Daddy,tatuś
daughter,fille,hija,dcera,Tochter,córka
daughter-in-law,belle-fille,nuera,snacha,Schwiegertochter,synowa
descendant,descendant,descendiente,potomek,Nachkomme,potomek
devoted,consacré,devoto,oddaný,hingebungsvoll,poświęcony
divorce,divorce,divorcio,rozvod,Scheidung,rozwód
eligible,éligibles,elegible,způsobilé,förderfähig,uprawniony
engaged,engagé,comprometido,angažované,verlobt,zaangażowany
engagement,engagement,compromiso,angažovanost,Verlobung,zaangażowanie
estranged,estrangé,distanciado,odcizené,estranged,obcy
ex,ex,ex,ex,ex,ex
