word,FR,ES,CS,DE,PL
A/B tester,Testeur A/B,Probador A/B,A/B tester,A/B-Tester,Tester A/B
Application analyst,Analyste d'applications,Analista de aplicaciones,Analytik aplikací,Anwendungsanalytiker,Analityk aplikacji
Business analyst,Analyste d'entreprise,Analista de empresa,Obchodní analytik,Wirtschaftsanalytiker,Analityk biznesowy
Computer operator,Opérateur informatique,Operador informático,Operátor počítače,Computerbediener,Operator komputera
Computer repair technician,Technicien en réparation d'ordinateurs,Técnico en reparación de ordenadores,Technik opravář počítačů,Computer-Reparaturtechniker,Technik naprawy komputerów
Computer scientist,Informaticien,Informático,Počítačový vědec,Informatiker,Informatyk
Computer analyst,Analyste informatique,Analista informático,Počítačový analytik,Computer-Analytiker,Analityk komputerowy
Data entry clerk,Commis à la saisie de données,Empleado de entrada de datos,Pracovník pro zadávání dat,Sachbearbeiter für Dateneingabe,Pracownik ds. wprowadzania danych
Database administrator,Administrateur de base de données,Administrador de bases de datos,Správce databáze,Datenbankverwalter,Administrator bazy danych
Data analyst,Analyste de données,Analista de datos,Datový analytik,Datenanalytiker,Analityk danych
Data designer,Concepteur de données,Diseñador de datos,Návrhář dat,Daten Designer,Projektant danych
Data scientist,Scientifique des données,Científico de datos,Datový vědec,Datenwissenschaftler,Naukowiec ds. danych
Data engineer,Ingénieur de données,Ingeniero informático,Datový inženýr,Dateningenieur,Inżynier danych
Hardware engineer,Ingénieur en matériel informatique,Ingeniero de hardware,Hardwarový inženýr,Hardware-Ingenieur,Inżynier sprzętu komputerowego
Information systems technician,Technicien en systèmes d'information,Técnico de sistemas de información,Technik informačních systémů,Informationssystemtechniker,Technik systemów informatycznych
IT assistant,Assistant informatique,Asistente informático,IT asistent,IT-Assistent,Asystent IT
IT consultant,Consultant en informatique,Consultor informático,IT konzultant,IT-Berater,Konsultant IT
Network analyst,Analyste réseau,Analista de redes,Síťový analytik,Netzwerkanalytiker,Analityk sieciowy
Network administrator,Administrateur de réseau,Administrador de redes,Správce sítě,Netzwerkadministrator,Administrator sieci
Programmer,Programmeur,Programador,Programátor,Programmierer,Programista
Product manager,Chef de produit,Jefe de producto,Produktový manažer,Produktmanager,Menedżer produktu
Project manager,Chef de projet,Jefe de proyecto,Projektový manažer,Projektleiter,Kierownik projektu
Rapid prototyper,Prototypage rapide,Prototipador rápido,Rychlý prototyp,Rapid Prototyper,Szybki prototyp
Scrum master,Maître de stage,Scrum master,Scrum master,Scrum-Meister,Scrum master
Security engineer,Ingénieur en sécurité,Ingeniero de seguridad,Bezpečnostní inženýr,Sicherheitsingenieur,Inżynier ds. bezpieczeństwa
Software analyst,Analyste logiciel,Analista informático,Softwarový analytik,Software-Analyst,Analityk oprogramowania
Software architect,Architecte logiciel,Arquitecto de software,Softwarový architekt,Software-Architekt,Architekt oprogramowania
Software design,Conception de logiciels,Diseño de software,Návrh softwaru,Software-Entwicklung,Projektowanie oprogramowania
Software engineer,Ingénieur logiciel,Ingeniero informático,Softwarový inženýr,Software-Ingenieur,Inżynier oprogramowania
Software project manager,Chef de projet logiciel,Gestor de proyectos de software,Manažer softwarových projektů,Software-Projektleiter,Kierownik projektu oprogramowania
Software quality analyst,Analyste qualité logiciel,Analista de calidad de software,Analytik kvality softwaru,Software-Qualitätsanalytiker,Analityk jakości oprogramowania
Software test engineer (Tester),Ingénieur de test logiciel (Tester),Ingeniero de pruebas de software (Tester),Testovací inženýr softwaru (Tester),Software-Testingenieur (Tester),Inżynier testów oprogramowania (Tester)
Solution architect,Architecte de solutions,Arquitecto de soluciones,Architekt řešení,Lösung Architekt,Architekt rozwiązań
Support technician (Help Desk),Technicien d'assistance (Help Desk),Técnico de soporte (Help Desk),Technik podpory (Help Desk),Supporttechniker (Helpdesk),Technik wsparcia technicznego (Help Desk)
System administrator,Administrateur système,Administrador de sistemas,Správce systému,Systemverwalter,Administrator systemu
Systems analyst,Analyste de systèmes,Analista de sistemas,Systémový analytik,Systemanalytiker/in,Analityk systemów
Systems architect,Architecte de systèmes,Arquitecto de sistemas,Systémový architekt,Systemarchitekt,Architekt systemów
Test engineer,Ingénieur d'essai,Ingeniero de pruebas,Testovací inženýr,Prüfingenieur,Inżynier testów
User experience designer,Concepteur d'expérience utilisateur,Diseñador de experiencia de usuario,Návrhář uživatelských zkušeností,Designer für Benutzererfahrungen,Projektant doświadczeń użytkownika
User interaction designer,Concepteur d'interaction avec l'utilisateur,Diseñador de interacción con el usuario,Návrhář interakce s uživatelem,Designer für Benutzerinteraktion,Projektant interakcji z użytkownikiem
User researcher,Utilisateur chercheur,Usuario investigador,Uživatel výzkumník,Benutzer researcher,Użytkownik badacz
Video game developer ,Développeur de jeux vidéo,Desarrollador de videojuegos,Vývojář videoher,Entwickler von Videospielen,Twórca gier wideo
Graphic designer,Graphiste,Diseñador gráfico,Grafický designér,Grafikdesigner,Projektant grafiki
Virtual assistant ,Assistant virtuel,Asistente virtual,Virtuální asistent,Virtueller Assistent,Wirtualny asystent
Web developer,Développeur web,Desarrollador web,Webový vývojář,Web-Entwickler,Programista internetowy
