EN,FR,ES,CS,DE,PL
armchair,fauteuil,sillón,křeslo,Lehnstuhl,fotel
armoire,armoire,armario,armoire,Kleiderschrank,szafa
bar stool,tabouret de bar,taburete de bar,barová židle,Barhocker,stołek barowy
bassinet,couffin,moisés,kolébka,Stubenwagen,gondola
beach chair,chaise de plage,silla de playa,plážové lehátko,Strandkorb,krzesło plażowe
bean bag chair,chaise en forme de sac de haricots,sillón bean bag,židle z pytle na fazole,Sitzsack,fotel worek fasoli
bed,lit,cama,postel,Bett,łóżko
bed table,table de lit,mesa de cama,stolek u postele,Betttisch,stolik do łóżka
bench,banc,banco,lavička,Bank,ławka
bentwood rocker,fauteuil à bascule en bois courbé,balancín de madera curvada,houpací křeslo z ohýbaného dřeva,Bugholz-Wippe,bujak z drewna giętego
bergere,bergère,bergere,bergere,bergere,bergere
bookcase,bibliothèque,librería,knihovna,Bücherregal,regał
bookshelf,bibliothèque,estantería,regál,Bücherregal,regał
breakfront,front de taille,breakfront,čelní stěna,Vorderseite,front
buffet,buffet,buffet,bufet,Buffet,bufet
bunk bed,lit superposé,litera,patrová postel,Etagenbett,łóżko piętrowe
bureau,bureau,oficina,kancelář,Büro,biuro
cabinet,armoire,armario,skříň,Schrank,szafka
canopy bed,lit à baldaquin,cama con dosel,postel s baldachýnem,Himmelbett,łóżko z baldachimem
captain's chair,chaise du capitaine,silla del capitán,kapitánské křeslo,Kapitänsstuhl,fotel kapitański
card table,table à cartes,mesa de juego,karetní stůl,Kartentisch,stolik na karty
carpet,tapis,alfombra,koberec,Teppich,dywan
cart,chariot,carro,vozík,Wagen,wózek
chair,chaise,silla,židle,Stuhl,krzesło
chaise lounge,chaise longue,tumbona,lehátko,Chaiselongue,szezlong
chandelier,lustre,lámpara de araña,lustr,Kronleuchter,żyrandol
chest,poitrine,pecho,hrudník,Brust,skrzynia
chest of drawers,commode,cómoda,komoda,Schubladenschrank,komoda
china cabinet,vaisselier,armario de porcelana,skříňka na porcelán,Porzellanschrank,szafka na porcelanę
clothes valet,valet de chambre,galán de noche,obsluha oděvů,Kleiderdiener,szafa na ubrania
club chair,fauteuil club,silla club,klubové křeslo,Klubsessel,fotel klubowy
coffee table,table basse,mesa de centro,konferenční stolek,Couchtisch,stolik kawowy
console,console,consola,konzole,Konsole,konsola
cot,berceau,cuna,dětská postýlka,Kinderbett,łóżeczko
couch,canapé,sofá,gauč,Liege,kanapa
cradle,berceau,cuna,kolébka,Wiege,kołyska
credenza,crédence,aparador,credenza,Kredenz,kredens
crib,berceau,cuna,dětská postýlka,Krippe,łóżeczko
cubbies,armoires,cubbies,kostky,Cubbies,kubiki
cupboard,armoire,armario,skříň,Schrank,szafka
curio,curiosité,curio,kuriozity,Kuriosität,kuriozum
curtains,rideaux,cortinas,záclony,Vorhänge,zasłony
cushion,coussin,cojín,polštář,Kissen,poduszka
deck chair,chaise longue,tumbona,lehátko,Liegestuhl,leżak
desk,bureau,escritorio,stůl,Schreibtisch,biurko
desk chair,chaise de bureau,silla de escritorio,stolní židle,Schreibtischstuhl,krzesło do biurka
dining room table,table de salle à manger,mesa de comedor,jídelní stůl,Esszimmertisch,stół do jadalni
director's chair,président du conseil d'administration,silla del director,ředitelské křeslo,Regiestuhl,fotel dyrektora
display cabinet,vitrine,vitrina,vitrína,Vitrine,gablota
divan,divan,diván,divan,Diwan,divan
drapery,draperie,cortinas,záclony,Vorhang,draperia
drapes,draperies,cortinas,závěsy,Vorhänge,zasłony
dresser,commode,vestidor,komoda,Kommode,komoda
easel,chevalet,caballete,stojan,Staffelei,sztaluga
easy chair,fauteuil,butaca,lehké křeslo,Sessel,łatwe krzesło
end table,table d'appoint,mesa auxiliar,koncový stolek,Beistelltisch,stolik końcowy
fauteuil,fauteuil,fauteuil,fauteuil,fauteuil,fauteuil
file cabinet,classeur,archivador,kartotéka,Aktenschrank,szafka na akta
folding chair,chaise pliante,silla plegable,skládací židle,Klappstuhl,krzesło składane
folding screen,paravent,biombo,skládací zástěna,Wandschirm,składany ekran
footrest,repose-pieds,reposapiés,opěrka nohou,Fußstütze,podnóżek
footstool,pouf,escabel,podnožka,Schemel,podnóżek
four-poster bed,lit à baldaquin,cama con dosel,postel s nebesy,Himmelbett,łóżko z baldachimem
furnishings,l'ameublement,mobiliario,vybavení,Einrichtungsgegenstände,wyposażenie
furniture,meubles,muebles,nábytek,Möbel,meble
futon,futon,futón,futon,Futon,futon
game table,table de jeu,mesa de juego,herní stůl,Spieltisch,stół do gier
garden bench,banc de jardin,banco de jardín,zahradní lavička,Gartenbank,ławka ogrodowa
gateleg table,table gigogne,mesa gateleg,stůl na noze,Pförtnertisch,stół z nogami
glider rocker,fauteuil à bascule,balancín planeador,houpací kluzák,Gleiterwippe,bujak szybowiec
grandfather clock,horloge de grand-père,reloj de pie,dědečkovy hodiny,Großvateruhr,zegar dziadka
hall tree,arbre du hall,árbol del vestíbulo,strom v hale,Hallenbaum,drzewo hali
hammock,hamac,hamaca,houpací síť,Hängematte,hamak
hassock,hassock,hassock,hassock,Haasock,hassock
hat stand,porte-chapeau,perchero,stojan na klobouky,Hutständer,stojak na kapelusze
headboard,tête de lit,cabecero,čelo postele,Kopfteil,zagłówek
highchair,chaise haute,trona,vysoká židlička,Hochstuhl,krzesełko
hope chest,coffre à espoir,cofre de la esperanza,truhla naděje,Aussteuertruhe,skrzynia nadziei
