EN,FR,ES,CS,DE,PL
adoption,adoption,adopción,adopce,Adoption,przyjęcie
adoptive father,père adoptif,padre adoptivo,adoptivní otec,Adoptivvater,przybrany ojciec
adoptive mother,mère adoptive,madre adoptiva,adoptivní matka,Adoptivmutter,matka adopcyjna
ancestor,ancêtre,antepasado,předek,Vorfahren,przodek
aunt,tante,tía,teta,Tante,ciotka
bachelor,célibataire,soltero,bakalářský,Junggeselle,kawaler
birth mother,mère biologique,madre biológica,rodná matka,leibliche Mutter,matka biologiczna
blood relative,parent par le sang,pariente consanguíneo,pokrevní příbuzný,Blutsverwandter,krewny
bride,mariée,novia,nevěsta,braut,panna młoda
bridegroom,marié,novio,ženich,Bräutigam,oblubieniec
brother,frère,hermano,bratr,Bruder,brat
brother-in-law,beau-frère,cuñado,švagr,Schwager,szwagier
brotherhood,fraternité,hermandad,bratrství,Bruderschaft,bractwo
brotherly,fraternel,fraternalmente,bratrský,brüderlich,braterski
care-giver,soignant,cuidador,pečující osoba,Betreuungsperson,opiekun
child,enfant,niño,dítě,Kind,dziecko
childhood,l'enfance,infancia,dětství,Kindheit,dzieciństwo
children,enfants,niños,děti,Kinder,dzieci
clan,clan,clan,klan,Clan,klan
close-knit,soudé,unida,úzká vazba,engmaschig,zwarty
connection,connexion,conexión,připojení,Verbindung,połączenie
cousin,cousin,primo,bratranec,Cousine,kuzyn
dad,papa,papá,táta,Papa,tata
daddy,papa,papá,tatínek,Daddy,tata
daughter,fille,hija,dcera,Tochter,córka
daughter-in-law,belle-fille,nuera,snacha,Schwiegertochter,synowa
descendant,descendant,descendiente,potomek,Nachkomme,potomek
devoted,consacré,devoto,oddaný,hingebungsvoll,poświęcony
divorce,divorce,divorcio,rozvod,Scheidung,rozwód
eligible,éligibles,elegible,způsobilé,förderfähig,uprawniony
engaged,engagé,comprometido,angažované,engagiert,zaangażowany
engagement,engagement,compromiso,zásnuby,Verlobung,zaangażowanie
estranged,séparé,distanciado,odcizený,entfremdet,wyobcowany
ex,ex,ex,ex,ex,ex
