word,FR,ES,CS,DE,PL
aerial tramway,tramway aérien,tranvía aéreo,lanová dráha,Luftseilbahn,tramwaj powietrzny
aircraft,les aéronefs,aviones,letadla,Flugzeuge,samolot
aircraft carrier,porte-avions,portaaviones,letadlová loď,Flugzeugträger,lotniskowiec
airplane,avion,avión,letadlo,Flugzeug,samolot
ambulance,ambulance,ambulancia,ambulance,Krankenwagen,ambulans
amphibious vehicle,véhicule amphibie,vehículo anfibio,obojživelné vozidlo,Amphibienfahrzeug,pojazd amfibijny
armored car,voiture blindée,vehículo blindado,obrněný vůz,Panzerwagen,samochód pancerny
auto,automobile,auto,auto,Auto,auto
automobile,automobile,automóvil,automobil,Automobil,samochód
baby carriage,voiture d'enfant,cochecito de bebé,dětský kočárek,Kinderwagen,wózek dziecięcy
balloon,ballon,globo,balón,Ballon,balon
barge,péniche,barcaza,člun,Lastkahn,barka
barrow,brouette,carretilla,barrow,Schubkarre,taczka
bathyscaphe,bathyscaphe,batiscafo,batyskaf,bathyscaphe,batyskaf
battleship,cuirassé,acorazado,bitevní loď,Schlachtschiff,pancernik
bicycle,bicyclette,bicicleta,jízdní kolo,Fahrrad,rower
bike,vélo,bicicleta,kolo,Fahrrad,rower
biplane,biplan,biplano,dvouplošník,Doppeldecker,dwupłatowiec
blimp,dirigeable,dirigible,vzducholoď,Luftschiff,sterowiec
boat,bateau,barco,loď,Boot,łódź
bobsled,bobsleigh,trineo,bobová dráha,Bob,bobslej
bomber,bombardier,bombardero,bombardér,Bombenleger,bombowiec
boxcar,wagon couvert,furgón,skříňový vůz,Güterwagen,boxcar
broomstick,manche à balai,escoba,koště,Besenstiel,miotła
buggy,buggy,calesa,buggy,Buggy,buggy
bulldozer,bulldozer,bulldozer,buldozer,Planierraupe,spychacz
bullet train,train à grande vitesse,tren bala,rychlovlak,Hochgeschwindigkeitszug,pociąg pociskowy
bus,bus,autobús,autobus,Bus,autobus
cab,taxi,cabina,kabina,Fahrerhaus,kabina
cabin cruiser,bateau de croisière à cabine,cabina crucero,cabin cruiser,Kabinenkreuzer,krążownik kabinowy
cable car,téléphérique,teleférico,lanovka,Seilbahn,kolejka linowa
caboose,fourgon de queue,furgón de cola,kabina,Dienstwagen,kabina
camper,camping-car,caravana,karavan,Camper,kamper
canoe,canoë,canoa,kanoe,Kanu,kajak
car,voiture,coche,auto,Auto,samochód
caravan,caravane,caravana,karavan,Wohnwagen,przyczepa kempingowa
caravel,caravelle,carabela,caravel,Karavelle,karawela
cargo ship,navire de charge,buque de carga,nákladní loď,Frachtschiff,statek towarowy
carriage,voiture,carro,kočár,Wagen,karetka
carrier,transporteur,transportista,dopravce,Träger,przewoźnik
cart,chariot,carro,vozík,Wagen,wózek
catamaran,catamaran,catamarán,katamarán,Katamaran,katamaran
chairlift,télésiège,telesilla,lanovka,Sessellift,wyciąg krzesełkowy
chariot,char,carro,vozatajství,Streitwagen,rydwan
chopper,hélicoptère,helicóptero,vrtulník,Hubschrauber,helikopter
clipper ship,navire clipper,clíper,kliprová loď,Clipper-Schiff,kliper
clunker,benne à ordures,clunker,clunker,Clunker,clunker
coach,autocar,autocar,autokar,Reisebus,autokar
