word,FR,ES,CS,DE,PL
able,capable,able,able,fähig,zdolny
abnormal,anormal,anormal,abnormální,abnormale,nienormalny
above average,supérieur à la moyenne,por encima de la media,nadprůměrná,überdurchschnittlich,powyżej średniej
absent-minded,distrait,despistado,roztržitý,geistesabwesend,roztargniony
adventurous,aventureux,aventurero,dobrodružný,abenteuerlich,ryzykowny
affectionate,affectueux,cariñoso,láskyplný,Liebevoll,czuły
agile,agile,ágil,agilní,wendig,zwinny
agreeable,agréable,agradable,příjemné,Angenehm,przyjemny
alert,alerte,alerta,upozornění,Alarm,alarm
amazing,étonnant,asombroso,úžasné,erstaunlich,niesamowity
ambitious,ambitieux,ambicioso,ambiciózní,ehrgeizig,ambitny
amiable,aimable,amiable,přátelský,liebenswürdig,sympatyczny
amusing,amusant,divertido,zábavné,amüsant,zabawny
analytical,analytique,analítica,analytické,analytisch,analityczny
angelic,angélique,angelical,andělský,engelhaft,anielski
apathetic,apathique,apático,apatický,apathisch,apatyczny
apprehensive,craintif,aprensivo,"obávám se, že",ängstlich,lękliwy
ardent,ardent,ardiente,ardent,leidenschaftlich,żarliwy
artificial,artificiels,artificial,umělé,künstlich,sztuczny
artistic,artistique,artístico,umělecké,künstlerisch,artystyczny
assertive,assertif,asertivo,asertivní,durchsetzungsfähig,asertywny
attentive,attentif,atento,pozorný,aufmerksame,uważny
average,moyenne,media,průměr,Durchschnitt,średnia
awesome,génial,impresionante,úžasné,genial,niesamowity
awful,terrible,horrible,strašný,furchtbar,okropny
balanced,équilibré,equilibrado,vyvážený,ausgeglichen,zrównoważony
beautiful,belle,hermoso,krásné,schön,piękny
below average,en dessous de la moyenne,por debajo de la media,pod průměrem,unterdurchschnittlich,poniżej średniej
beneficent,bienfaisant,benéfico,dobročinný,wohltätig,korzystny
blue,bleu,azul,modrá,blau,niebieski
blunt,émoussé,romo,tupý,stumpf,tępy
boisterous,turbulent,bullicioso,bouřlivý,Ungestüm,hałaśliwy
brave,courageux,valiente,odvážný,tapfer,odważny
bright,lumineux,brillante,bright,hell,jasny
brilliant,brillant,brillante,brilantní,brillant,genialny
buff,buff,buff,buff,schwabbelig,buff
callous,calleux,insensible,callous,unempfindlich,bezduszny
candid,candide,cándido,upřímný,offen,szczery
cantankerous,acariâtre,cascarrabias,cantankerous,mürrisch,złośliwy
capable,capable,capaz,schopné,fähig,zdolny
careful,prudent,cuidado,pečlivě,vorsichtig,ostrożny
careless,négligent,descuidado,neopatrný,achtlos,nieostrożny
caustic,caustique,cáustico,žíravina,Ätzend,żrący
cautious,prudent,cauteloso,opatrný,Vorsichtig,ostrożny
charming,charmant,encantador,okouzlující,charmant,czarujący
cheerful,joyeux,alegre,veselý,heiter,wesoły
chic,chic,chic,chic,schick,szyk
childish,enfantin,infantil,dětinský,kindisch,dziecinny
childlike,enfantin,infantil,dětský,Kindliche,dziecinny
churlish,churlish,churlish,churlish,churlish,prostacki
circumspect,circonspect,circunspecto,obezřetnost,umsichtig,ostrożny
civil,civil,civil,civilní,zivil,cywilny
clean,propre,limpiar,clean,sauber,czysty
clever,intelligent,inteligente,chytrý,schlau,sprytny
clumsy,maladroit,torpe,nemotorný,ungeschickt,niezdarny
coherent,cohérent,coherente,koherentní,kohärent,spójny
cold,froid,frío,studený,kalt,zimny
competent,compétent,competente,kompetentní,kompetent,kompetentny
composed,composé,compuesto,složené z,zusammengestellt,złożony
conceited,vaniteux,engreído,domýšlivý,Eingebildet,zarozumiały
condescending,condescendant,condescendiente,blahosklonný,herablassend,protekcjonalny
confident,confiant,confiado,sebevědomý,zuversichtlich,pewny siebie
confused,confus,confuso,zmatený,verwirrt,zdezorientowany
conscientious,consciencieux,concienzudo,svědomitý,Gewissenhaftigkeit,sumienny
considerate,attentionné,considerado,ohleduplný,rücksichtsvoll,rozważny
content,contenu,contenido,obsah,Inhalt,zawartość
cool,cool,cool,cool,cool,fajny
cool-headed,tête froide,cabeza fría,s chladnou hlavou,mit kühlem Kopf,chłodna głowa
cooperative,coopératif,cooperativa,kooperace,genossenschaftlich,spółdzielczy
cordial,chaleureux,cordial,srdečné,herzliche,serdeczny
courageous,courageux,valiente,odvážný,mutig,odważny
cowardly,lâche,cobarde,zbaběle,feige,tchórzliwy
crabby,crabe,malhumorado,crabby,mürrisch,crabby
crafty,artisanal,astuto,crafty,schlau,sprytny
cranky,grincheux,cascarrabias,mrzutý,schrullig,zepsuty
crass,grossier,craso,crass,Krass,tandeta
critical,critique,crítico,kritické,kritisch,krytyczny
cruel,cruel,cruel,krutý,grausam,okrutny
curious,curieux,curioso,zvědavý,neugierig,ciekawy
cynical,cynique,cínico,cynický,zynisch,cyniczny
dainty,délicat,delicado,dainty,zierlich,delikatny
decisive,décisif,decisivo,rozhodující,entscheidend,decydujący
deep,profond,profundo,deep,tief,głęboki
deferential,déférent,deferente,deferentní,ehrerbietig,podrzędny
deft,deft,deft,deft,deftig,defft
delicate,délicate,delicado,choulostivé,zarte,delikatny
delightful,délicieux,encantador,rozkošný,entzückend,zachwycający
demonic,démoniaque,demoníaco,démonický,dämonisch,demoniczny
demure,discret,recatada,demure,nüchtern,skromny
dependent,dépendante,dependiente,závislé na,abhängig,zależny
depressed,déprimé,deprimido,v depresi,deprimiert,przygnębiony
devoted,consacré,devoto,věnovaný,gewidmet,poświęcony
dextrous,dextre,diestro,dextrous,Geschickt,zręczny
diligent,diligent,diligente,pečlivý,fleißig,sumienny
direct,direct,directo,direct,direkt,bezpośredni
dirty,sale,sucio,špinavý,schmutzig,brudny
disagreeable,désagréable,desagradable,nepříjemné,Unangenehme,nieprzyjemny
discerning,discerner,discernir,rozlišování,anspruchsvoll,wnikliwy
discreet,discret,discreto,diskrétní,diskret,dyskretny
disruptive,perturbateur,disruptivo,rušivé,disruptiv,destrukcyjny
distant,distants,distante,vzdálené,entfernt,odległy
distraught,désemparé,angustiado,rozrušený,verzweifelt,zrozpaczony
distrustful,méfiant,desconfiado,nedůvěřivý,misstrauisch,nieufny
dowdy,dowdy,dowdy,dowdy,schäbige,puchaty
dramatic,dramatique,dramático,dramatický,dramatisch,dramatyczny
dreary,lugubre,lúgubre,ponurý,düster,ponury
drowsy,somnolent,somnoliento,ospalý,schläfrig,senny
drugged,drogué,drogado,omámený,unter Drogeneinfluss,odurzony
drunk,ivre,borracho,opilý,betrunken,pijany
dull,terne,aburrido,tupý,langweilig,nudny
dutiful,consciencieux,obediente,povinný,pflichtbewusst,obowiązkowy
eager,enthousiaste,ansioso,dychtivý,eifrig,chętny
earnest,sérieux,serio,earnest,seriös,poważny
easy-going,facile à vivre,fácil de llevar,snadné,lässig,swobodny
efficient,efficace,eficiente,efektivní,effizient,efektywny
egotistical,égoïste,egoísta,egoistický,egoistisch,egoistyczny
elfin,elfin,elfin,elfin,elfin,elfin
emotional,émotionnel,emocional,emocionální,emotional,emocjonalny
energetic,énergétique,enérgico,energetický,energetisch,energetyczny
enterprising,entreprenant,emprendedor,podnikavý,unternehmerisch,przedsiębiorczy
enthusiastic,enthousiaste,entusiastas,nadšený,begeistert,entuzjastyczny
evasive,évasif,evasiva,vyhýbavý,ausweichend,wymijający
even-tempered,équilibré,ecuánime,vyrovnaný,gleichmütig,zrównoważony
exacting,exigeant,exigente,náročné,anspruchsvoll,wymagający
excellent,excellent,excelente,vynikající,ausgezeichnet,doskonały
excitable,excitable,excitable,vzrušující,erregbar,pobudliwy
experienced,expérimenté,experimentado,zkušený,erfahren,doświadczony
fabulous,fabuleux,fabuloso,báječný,märchenhaft,bajeczny
fastidious,fastidieux,fastidioso,fastidious,Anspruchsvoll,szybki
ferocious,féroce,feroz,divoký,wild,okrutny
fervent,fervent,ferviente,vroucí,Inbrünstig,żarliwy
fiery,ardent,ardiente,ohnivý,feurig,ognisty
flabby,flasque,flácido,ochablé,schlaff,zwiotczały
flaky,floconneux,escamoso,vločkový,flockig,łuszczący się
flashy,tape-à-l'œil,llamativo,honosné,auffällig,krzykliwy
frank,franche,frank,frank,frank,szczery
friendly,amical,amable,přátelský,freundlich,przyjazny
funny,amusant,divertido,funny,lustig,zabawny
fussy,pointilleux,quisquilloso,fussy,pingelig,wybredny
