EN,FR,ES,CS,DE,PL
algorithm,algorithme,algoritmo,algoritmus,Algorithmus,algorytm
analog,analogique,analógico,analogové,analog,analogowy
app,application,aplicación,aplikace,app,aplikacja
application,application,aplicación,aplikace,Anmeldung,aplikacja
array,réseau,matriz,pole,Array,tablica
backup,sauvegarde,copia de seguridad,záloha,Backup,kopia zapasowa
bandwidth,largeur de bande,ancho de banda,šířka pásma,Bandbreite,przepustowość
binary,binaire,binario,binární,binär,binarny
bit,mors,bit,bit,bit,bit
bitmap,bitmap,mapa de bits,bitová mapa,Bitmap,bitmapa
blog,blog,blog,blog,Blog,blog
blogger,blogueur,blogger,blogger,Blogger,bloger
bookmark,signet,marcador,záložka,Lesezeichen,zakładka
boot,botte,arranque,zavádění,boot,bagażnik
broadband,haut débit,banda ancha,širokopásmové připojení,Breitband,szerokopasmowy
browser,navigateur,navegador,prohlížeč,Browser,przeglądarka
buffer,tampon,búfer,vyrovnávací paměť,Puffer,bufor
bug,insecte,error,chyba,Fehler,błąd
bus,bus,autobús,autobus,Bus,autobus
byte,octet,byte,byte,Byte,bajt
cache,cache,caché,cache,Cache,pamięć podręczna
caps lock,verrouillage des majuscules,bloqueo de mayúsculas,caps lock,Feststelltaste,caps lock
captcha,captcha,captcha,captcha,captcha,captcha
CD,CD,CD,CD,CD,CD
CD-ROM,CD-ROM,CD-ROM,CD-ROM,CD-ROM,CD-ROM
client,client,cliente,klient,Kunde,klient
clip art,clip art,imágenes prediseñadas,kliparty,Clip-Art,clip art
clip board,planche à pince,tablero con sujetapapeles,deska s klipy,Klemmbrett,tablica zaciskowa
cloud computing,informatique en nuage,computación en nube,cloud computing,Cloud-Computing,chmura obliczeniowa
command,commande,comando,příkaz,Befehl,polecenie
compile,compiler,compilar,zkompilovat,kompilieren,kompilacja
compress,comprimer,comprimir,komprese,komprimieren,kompres
computer,ordinateur,ordenador,počítač,Computer,komputer
computer program,programme informatique,programa informático,počítačový program,Computerprogramm,program komputerowy
configure,configurer,configure,konfigurovat,konfigurieren.,konfiguracja
cookie,biscuit,galleta,cookie,Cookie,ciasteczko
copy,copie,copia,kopírovat,kopieren.,kopia
CPU (central processing unit),CPU (unité centrale de traitement),CPU (unidad central de procesamiento),CPU (centrální procesorová jednotka),CPU (zentrale Verarbeitungseinheit),CPU (centralna jednostka przetwarzania)
cyber-crime,cybercriminalité,ciberdelincuencia,kybernetická kriminalita,Internet-Kriminalität,cyberprzestępczość
cyberspace,cyberespace,ciberespacio,kyberprostor,cyberspace,cyberprzestrzeń
dashboard,tableau de bord,salpicadero,přístrojová deska,Dashboard,deska rozdzielcza
data,données,datos,data,Daten,dane
data mining,exploration de données,minería de datos,dolování dat,Data-Mining,eksploracja danych
database,base de données,base de datos,databáze,Datenbank,baza danych
debug,débogage,depurar,ladit,Fehlersuche,debugowanie
decompress,décompresser,descomprimir,dekomprese,dekomprimieren,dekompresja
delete,supprimer,borrar,smazat,löschen,usunąć
desktop,bureau,escritorio,stolní počítač,Desktop,pulpit
development,développement,desarrollo,vývoj,Entwicklung,rozwój
digital,numérique,digital,digitální,digital,cyfrowy
disk,disque,disco,disk,Festplatte,dysk
DNS (domain name system),DNS (système de noms de domaine),DNS (sistema de nombres de dominio),DNS (systém názvů domén),DNS (Domänennamensystem),DNS (system nazw domen)
document,document,documento,dokument,Dokument,dokument
domain,domaine,dominio,doména,Domain,domena
domain name,nom de domaine,nombre de dominio,název domény,Domain-Name,nazwa domeny
dot,point,punto,tečka,Punkt,kropka
dot matrix,matrice de points,matriz de puntos,bodová matice,Punktmatrix,matryca punktowa
download,télécharger,descargar,ke stažení,herunterladen,pobieranie
drag,traîner,arrastre,přetahování,ziehen,przeciąganie
DVD (digital versatile disc),DVD (disque numérique polyvalent),DVD (disco versátil digital),DVD (digitální univerzální disk),DVD (Digital Versatile Disc),DVD (uniwersalny dysk cyfrowy)
dynamic,dynamique,dinámico,dynamický,dynamisch,dynamiczny
email,courriel,correo electrónico,e-mail,E-Mail,e-mail
emoticon,émoticône,emoticono,emotikon,Emoticon,emotikon
encrypt,crypter,encriptar,zašifrovat,verschlüsseln,szyfrowanie
encryption,chiffrement,encriptación,šifrování,Verschlüsselung,szyfrowanie
enter,entrer,entre en,zadejte,eingeben.,wejść
exabyte,exaoctet,exabyte,exabyte,Exabyte,eksabajt
FAQ (frequently asked questions),FAQ (questions fréquemment posées),FAQ (preguntas más frecuentes),FAQ (často kladené otázky),FAQ (häufig gestellte Fragen),FAQ (często zadawane pytania)
file,fichier,archivo,soubor,Datei,plik
finder,chercheur,buscador,vyhledávač,Finder,wyszukiwarka
firewall,pare-feu,cortafuegos,brána firewall,Firewall,firewall
firmware,firmware,firmware,firmware,Firmware,oprogramowanie układowe
flaming,flamboyant,en llamas,plamenné,flammende,płonący
flash,flash,flash,flash,Blitzlicht,błysk
flash drive,clé USB,unidad flash,flash disk,Flashlaufwerk,pendrive
floppy disk,disquette,disquete,disketa,Diskette,dyskietka
flowchart,organigramme,diagrama de flujo,blokové schéma,Flussdiagramm,schemat blokowy
folder,dossier,carpeta,složka,Ordner,folder
font,police,fuente,písmo,Schriftart,czcionka
format,format,formato,formát,Format,format
frame,cadre,marco,rám,Rahmen,ramka
freeware,logiciel gratuit,freeware,freeware,Freeware,freeware
gigabyte,gigaoctet,gigabyte,gigabyte,Gigabyte,gigabajt
graphics,Graphiques,gráficos,grafika,Grafik,grafika
hack,piratage,piratear,hack,hacken.,hack
hacker,pirate informatique,hacker,hacker,Hacker,haker
hardware,matériel,hardware,hardware,Hardware,sprzęt
home page,page d'accueil,página de inicio,domovská stránka,Hauptseite,strona główna
host,hôte,host,hostitel,Gastgeber,gospodarz
HTML,HTML,HTML,HTML,HTML,HTML
hyperlink,lien hypertexte,hipervínculo,hypertextový odkaz,Hyperlink,hiperłącze
hypertext,hypertexte,hipertexto,hypertext,Hypertext,hipertekst
icon,icône,icono,ikona,Symbol,ikona
inbox,boîte de réception,bandeja de entrada,Doručená pošta,Posteingang,skrzynka odbiorcza
integer,entier,entero,celé číslo,Ganzzahl,liczba całkowita
interface,interface,interfaz,rozhraní,Schnittstelle,interfejs
Internet,Internet,Internet,Internet,Internet,Internet
IP address,Adresse IP,Dirección IP,IP adresa,IP-Adresse,Adres IP
iteration,itération,iteración,iterace,Iteration,iteracja
Java,Java,Java,Java,Java,Java
joystick,joystick,joystick,joystick,Joystick,joystick
junk mail,courrier indésirable,correo basura,nevyžádaná pošta,Junk-Mail,wiadomości-śmieci
kernel,Noyau,núcleo,jádro,Kernel,jądro
key,clé,clave,klíč,Schlüssel,klucz
keyboard,clavier,teclado,klávesnice,Tastatur,klawiatura
keyword,mot-clé,palabra clave,klíčové slovo,Stichwort,słowo kluczowe
laptop,ordinateur portable,ordenador portátil,notebook,Laptop,laptop
laser printer,imprimante laser,impresora láser,laserová tiskárna,Laserdrucker,drukarka laserowa
link,lien,enlace,odkaz,Link,link
Linux,Linux,Linux,Linux,Linux,Linux
log out,se déconnecter,cerrar sesión,odhlásit se,sich abmelden,wylogowanie
logic,logique,lógica,logika,Logik,logika
login,connexion,inicio de sesión,přihlášení,Anmeldung,login
lurking,en veilleuse,al acecho,číhající,lauernd,czający się
Macintosh,Macintosh,Macintosh,Macintosh,Macintosh,Macintosh
macro,macro,macro,makro,Makro,makro
mainframe,ordinateur central,ordenador central,mainframe,Großrechner,mainframe
malware,logiciels malveillants,malware,malware,Malware,złośliwe oprogramowanie
media,médias,medios de comunicación,média,Medien,media
memory,mémoire,memoria,paměť,Speicher,pamięć
mirror,miroir,espejo,zrcadlo,Spiegel,lustro
modem,modem,módem,modem,Modem,modem
monitor,moniteur,monitor,monitor,überwachen,monitor
motherboard,carte mère,placa base,základní deska,Hauptplatine,płyta główna
mouse,souris,ratón,myš,Maus,mysz
multimedia,multimédia,multimedia,multimédia,Multimedia,multimedia
net,net,red,net,Netz,netto
network,réseau,red,síť,Netzwerk,sieć
node,nœud,nodo,uzel,Knoten,węzeł
notebook computer,ordinateur portable,ordenador portátil,notebook,Notizbuchcomputer,notebook
offline,hors ligne,sin conexión,offline,offline,offline
online,en ligne,en línea,online,online,online
open source,source ouverte,código abierto,open source,offene Quelle,open source
operating system,système d'exploitation,sistema operativo,operační systém,Betriebssystem,system operacyjny
option,option,opción,možnost,Option,opcja
