EN,FR,ES,CS,DE,PL
acorn squash,courge de gland,calabaza bellota,žaludová dýně,Eichelkürbis,kabaczek żołędziowy
alfalfa,luzerne,alfalfa,vojtěška,Alfalfa,lucerna
artichoke,artichaut,alcachofa,artyčok,Artischocke,karczoch
arugula,roquette,rúcula,rukola,Rucola,rukola
asparagus,asperges,espárragos,chřest,Spargel,szparagi
avocado,avocat,aguacate,avokádo,Avocado,awokado
bamboo shoots,pousses de bambou,brotes de bambú,bambusové výhonky,Bambussprossen,pędy bambusa
basil,basilic,albahaca,bazalka,Basilikum,bazylia
beans,haricots,judías,fazole,Bohnen,fasola
beets,betteraves,remolacha,řepa,Rüben,buraki
bell pepper,poivron,pimiento,paprika,Paprika,papryka
black-eyed peas,pois à œil noir,guisantes negros,hrách s černýma očima,schwarzäugige Erbsen,groszek czarnooki
broccoli,brocoli,brócoli,brokolice,Brokkoli,brokuły
Brussels sprouts,Choux de Bruxelles,Coles de Bruselas,Růžičková kapusta,Rosenkohl,Brukselka
capers,câpres,alcaparras,kapary,Kapern,kapary
carrot,carotte,zanahoria,mrkev,Karotte,marchew
cauliflower,chou-fleur,coliflor,květák,Blumenkohl,kalafior
celeriac,céleri-rave,apionabo,celer,Knollensellerie,seler
celery,céleri,apio,celer,Staudensellerie,seler
chard,blettes,acelga,mangold,Mangold,boćwina
chick peas,pois chiches,garbanzos,cizrna,Kichererbsen,ciecierzyca
Chinese cabbage,Chou chinois,Col china,Čínské zelí,Chinakohl,Kapusta pekińska
chives,ciboulette,cebollino,pažitka,Schnittlauch,szczypiorek
collard greens,feuilles de chou,berza,zelený salát collard,Blattkohl,kapusta włoska
cress,cresson,berro,řeřicha,Kresse,rzeżucha
cucumber,concombre,pepino,okurka,Gurke,ogórek
daikon,daikon,daikon,daikon,Daikon,daikon
dandelion greens,feuilles de pissenlit,hojas de diente de león,pampelišková zelenina,Löwenzahngrün,mniszek lekarski
eggplant,aubergine,berenjena,lilek,Aubergine,bakłażan
endive,endive,escarola,endivie,Endivie,endywia
fava bean,fève,haba,fazole fava,Favabohne,bób
fennel,fenouil,hinojo,fenykl,Fenchel,koper włoski
garlic,ail,ajo,česnek,Knoblauch,czosnek
ginger,gingembre,jengibre,zázvor,Ingwer,imbir
gourd,calebasse,calabaza,tykev,Kalebasse,tykwa
green bean,haricot vert,judía verde,zelené fazole,grüne Bohne,zielona fasola
greens,verts,verdes,zeleně,Grünzeug,zielenie
hot chili peppers,piments forts,chiles picantes,pálivé chilli papričky,scharfe Chilischoten,ostre papryczki chili
iceberg lettuce,laitue iceberg,lechuga iceberg,ledový salát,Eisbergsalat,sałata lodowa
jicama,jicama,jícama,jicama,Jicama,jicama
kale,chou frisé,col rizada,kapusta,Grünkohl,jarmuż
kohlrabi,chou-rave,colinabo,kedlubny,Kohlrabi,kalarepa
leek,poireau,puerro,pórek,Lauch,por
lentils,lentilles,lentejas,čočka,Linsen,soczewica
lettuce,laitue,lechuga,salát,Kopfsalat,sałata
lima bean,haricot de Lima,haba,fazole lima,Limabohne,fasola lima
maize,maïs,maíz,kukuřice,Mais,kukurydza
mung bean,haricot mungo,judía mungo,fazole mungo,Mungobohne,fasola mung
mushroom,champignon,setas,houby,Pilz,grzyb
mustard greens,feuilles de moutarde,hojas de mostaza,hořčičná zelenina,Senfkörner,gorczyca
okra,gombo,okra,okra,Okra,okra
olive,olive,oliva,olivový,Olive,oliwka
onion,oignon,cebolla,cibule,Zwiebel,cebula
parsley,persil,perejil,petržel,Petersilie,pietruszka
parsnip,panais,chirivía,pastinák,Pastinake,pasternak
pattypan squash,courge patte d'oie,calabaza pattypan,pattypan squash,Pattypan-Kürbis,kabaczek pattypan
pea,pois,guisante,hrách,Erbsen,groszek
peanut,cacahuète,cacahuete,arašídy,Erdnuss,orzeszek ziemny
peapod,peapod,peapod,peapod,Peapod,peapod
peppers,poivrons,pimientos,papriky,Paprika,papryka
pickle,cornichon,pepinillo,nakládané okurky,Essiggurke,ogórek
potato,pomme de terre,patata,brambory,Kartoffel,ziemniak
pumpkin,citrouille,calabaza,dýně,Kürbis,dynia
radicchio,radicchio,achicoria,radicchio,Radicchio,radicchio
radish,radis,rábano,ředkvičky,Rettich,rzodkiewka
rhubarb,rhubarbe,ruibarbo,rebarbora,Rhabarber,rabarbar
rocket,fusée,cohete,raketa,Rakete,rakieta
romaine,romaine,romana,římský,Romana,rzepak
rutabaga,rutabaga,colinabo,brukev,Steckrübe,brukiew
salad,salade,ensalada,salát,Salat,sałatka
salsa,salsa,salsa,salsa,Salsa,salsa
salsify,salsifis,salsifí,salsify,Schwarzwurzel,salsefia
scallion,échalote,cebolleta,šupinatý,Schalotte,szalotka
seaweed,algues,algas,mořské řasy,Seegras,wodorosty
shallot,échalote,chalota,šalotka,Schalotte,szalotka
sorrel,oseille,acedera,šťovík,Sauerampfer,szczaw
soybean,soja,soja,sójové boby,Sojabohnen,soja
spinach,épinards,espinacas,špenát,Spinat,szpinak
sprouts,germes,brotes,klíčky,Sprossen,kiełki
spuds,patates douces,patatas,spuds,Spuds,kiełki
squash,courge,calabaza,squash,Squash,squash
string bean,haricot à fil,judía verde,fazolový lusk,Saubohne,fasolka szparagowa
succotash,succotash,succotash,succotash,Succotash,sukkotasz
sweet potato,patate douce,batata,sladké brambory,Süßkartoffel,słodki ziemniak
