EN,FR,ES,CS,DE,PL
anemone,anémone,anémona,sasanka,Anemone,zawilec
apple blossom,fleur de pommier,flor de manzano,květ jabloně,Apfelblüte,kwiat jabłoni
aster,aster,aster,aster,aster,aster
azalea,azalée,azalea,azalka,azalea,azalia
baby's breath,souffle de bébé,aliento de bebé,dětský dech,Schleierkraut,oddech dziecka
bachelor button,bouton célibataire,botón de soltero,mládenecké tlačítko,Junggesellenabschied,przycisk kawalera
begonia,bégonia,begonia,begónie,Begonie,begonia
bellflower,campanule,bellflower,bellflower,Glockenblume,bellflower
bells of Ireland,cloches d'Irlande,Campanas de Irlanda,zvony Irska,Glocken von Irland,dzwony Irlandii
bitterroot,racine amère,raíz amarga,hořký kořen,Bitterwurzel,gorzki korzeń
black-eyed Susan,Susan aux yeux noirs,Susan de ojos negros,černooká Zuzana,schwarzäugige Susanna,czarnooka Susan
bluebells,clochettes,campanillas,modré zvonky,Glockenblumen,dzwonki
bluebonnet,bonnet bleu,bluebonnet,bluebonnet,Bluebonnet,bluebonnet
bougainvillea,bougainvillier,buganvilla,bougainvillea,Bougainvillea,bugenwilla
bouquet,bouquet,ramo,kytice,Blumenstrauß,bukiet
buttercup,bouton d'or,ranúnculo,buttercup,Hahnenfuß,jaskier
butterfly bush,buisson à papillons,arbusto mariposa,motýlí keř,Schmetterlingsflieder,krzak motyla
calendula,calendula,caléndula,měsíček lékařský,Calendula,nagietek
California poppy,Pavot de Californie,Amapola de California,Kalifornský mák,Kalifornischer Mohn,Mak kalifornijski
calla lily,lys de calla,cala,lilie,Calla-Lilie,lilia calla
camellia,camélia,camelia,kamélie,Kamelie,kamelia
candytuft,le sucre d'orge,candytuft,candytuft,candytuft,candytuft
canna,canna,canna,canna,canna,canna
carnation,œillet,clavel,karafiát,Nelke,goździk
carrion flower,fleur de charogne,flor carroñera,květ mršiny,Aasblume,kwiat padliny
chicory,chicorée,achicoria,čekanka,Zichorie,cykoria
chrysanthemum,chrysanthème,crisantemo,chryzantéma,Chrysantheme,chryzantema
clover,trèfle,trébol,jetel,Klee,koniczyna
columbine,ancolie,columbine,columbine,Akelei,orlik
cornflower,bleuet,aciano,chrpa,Kornblume,chaber
corpse flower,fleur de cadavre,flor cadáver,květina mrtvoly,Leichenblume,trupi kwiat
cosmos,cosmos,cosmos,cosmos,Kosmos,kosmos
crocus,crocus,azafrán,crocus,Krokus,krokus
daffodil,jonquille,narciso,narcis,Narzisse,żonkil
dahlia,dahlia,dahlia,dahlia,Dahlien,dalia
daisy,marguerite,margarita,daisy,Gänseblümchen,stokrotka
dandelion,pissenlit,diente de león,pampeliška,Löwenzahn,mniszek lekarski
delphinium,delphinium,delphinium,delphinium,Rittersporn,delphinium
dianthus,dianthus,dianthus,dianthus,Dianthus,dianthus
dogwood,cornouiller,cornejo,dogwood,Hartriegel,dereń
edelweiss,edelweiss,edelweiss,edelweiss,edelweiss,szarotka
floret,flocon,florete,floret,Blümchen,floret
florist,fleuriste,floristería,květinářství,Blumenladen,kwiaciarnia
flower,fleur,flor,květiny,Blume,kwiat
forget-me-not,myosotis,nomeolvides,forget-me-not,Vergissmeinnicht,niezapominajka
foxglove,digitale,dedalera,foxglove,Fingerhut,naparstnica
freesia,freesia,fresia,frézie,Freesie,frezja
gardenia,gardénia,gardenia,gardénie,Gardenie,gardenia
gerbera daisy,marguerite gerbera,margarita gerbera,sedmikráska gerbera,Gerbera-Gänseblümchen,gerbera
gillyflower,gillyflower,gillyflower,gillyflower,gillyflower,gillyflower
