EN,FR,ES,CS,DE,PL
aerial tramway,tramway aérien,tranvía aéreo,lanová dráha,Luftseilbahn,tramwaj powietrzny
aircraft,avion,avión,letadlo,Flugzeug,samolot
aircraft carrier,porte-avions,portaaviones,letadlová loď,Flugzeugträger,lotniskowiec
airplane,avion,avión,letadlo,Flugzeug,samolot
ambulance,ambulance,ambulancia,sanitka,Krankenwagen,karetka
amphibious vehicle,véhicule amphibie,vehículo anfibio,obojživelné vozidlo,Amphibienfahrzeug,pojazd amfibijny
armored car,voiture blindée,coche blindado,obrněný vůz,Panzerwagen,samochód pancerny
auto,automobile,auto,auto,Auto,auto
automobile,automobile,automóvil,automobil,Automobil,samochód
baby carriage,voiture d'enfant,cochecito de bebé,dětský kočárek,Kinderwagen,wózek dziecięcy
balloon,ballon,globo,balón,Ballon,balon
barge,chaland,barcaza,člun,Barkasse,barka
barrow,barrow,carretilla,barrow,Schubkarre,kurhan
bathyscaphe,bathyscaphe,batiscafo,batyskaf,bathyscaphe,batyskaf
battleship,cuirassé,acorazado,bitevní loď,Schlachtschiff,pancernik
bicycle,bicyclette,bicicleta,jízdní kolo,Fahrrad,rower
bike,vélo,bicicleta,kolo,Fahrrad,rower
biplane,biplan,biplano,dvouplošník,Doppeldecker,dwupłatowiec
blimp,dirigeable,dirigible,vzducholoď,Luftschiff,sterowiec
boat,bateau,barco,loď,Boot,łódź
bobsled,bobsleigh,trineo,bobová dráha,Bobfahren,bobslej
bomber,bombardier,bombardero,bombardér,Bombenleger,bombowiec
boxcar,wagon,furgón,boxcar,Güterwagen,boxcar
broomstick,manche à balai,palo de escoba,koště,Besenstiel,miotła
buggy,buggy,buggy,buggy,Buggy,buggy
bulldozer,bulldozer,bulldozer,buldozer,Bulldozer,buldożer
bullet train,train à grande vitesse,tren bala,kulový vlak,Hochgeschwindigkeitszug,pociąg pociskowy
bus,bus,autobús,autobus,Bus,autobus
cab,cabine,cabina,kabina,Taxi,kabina
cabin cruiser,bateau de croisière à cabine,crucero en camarote,kajutový křižník,Kabinenkreuzer,krążownik kabinowy
cable car,téléphérique,teleférico,lanovka,Seilbahn,kolejka linowa
caboose,wagon de queue,furgón de cola,kabina,.,kabina
camper,campeur,caravana,karavan,Camper,kamper
canoe,canoë,canoa,kanoe,Kanu,kajak
car,voiture,coche,auto,Auto,samochód
caravan,caravane,caravana,karavan,Wohnwagen,przyczepa
caravel,caravelle,carabela,caravel,Karavelle,karawela
cargo ship,navire de charge,buque de carga,nákladní loď,Frachtschiff,statek towarowy
carriage,transport,carro,kočár,Wagen,przewóz
carrier,transporteur,portador,nosič,Träger,przewoźnik
cart,chariot,carro,vozík,Wagen,wózek
catamaran,catamaran,catamarán,katamarán,Katamaran,katamaran
chairlift,télésiège,telesilla,lanovka,Sessellift,wyciąg krzesełkowy
chariot,char,carro,vozatajství,Streitwagen,rydwan
chopper,hacheur,picador,vrtulník,Chopper,chopper
clipper ship,navire clipper,clíper,kliprová loď,Klipperschiff,kliper
clunker,benne à ordures,clunker,clunker,.,clunker
coach,entraîneur,entrenador,trenér,Coach,trener
combine,combiner,combinar,kombinovat,Mähdrescher,połączenie
compact car,voiture compacte,coche compacto,kompaktní vůz,Kleinwagen,samochód kompaktowy
Conestoga wagon,Wagon Conestoga,Vagón Conestoga,Vůz Conestoga,Conestoga-Wagen,Wagon Conestoga
container ship,navire porte-conteneurs,portacontenedores,kontejnerová loď,Containerschiff,kontenerowiec
convertible,décapotable,convertible,konvertibilní,Cabrio,kabriolet
conveyance,transport,transporte,přenos,Übermittlung,transport
conveyor belt,bande transporteuse,cinta transportadora,pásový dopravník,Förderband,przenośnik taśmowy
convoy,convoi,convoy,konvoj,Konvoi,konwój
coupe,coupé,cupé,kupé,Coupe,coupe
covered wagon,wagon couvert,carro cubierto,krytý vůz,Planwagen,kryty wagon
crane,grue,grúa,jeřáb,Kran,dźwig
crop duster,plumeau,plumero,práškovací stroj na obilí,Sprühflugzeug,odpylacz
cruise ship,bateau de croisière,crucero,výletní loď,Kreuzfahrtschiff,statek wycieczkowy
cruiser,croiseur,crucero,křižník,Kreuzer,krążownik
cutter,cutter,cortador,fréza,Kutter,kuter
cycle,cycle,ciclo,cyklus,Zyklus,cykl
delivery truck,camion de livraison,camión de reparto,dodávkový vůz,Lieferwagen,samochód dostawczy
delivery van,camionnette de livraison,furgoneta de reparto,dodávkové vozidlo,Lieferwagen,samochód dostawczy
destroyer,destructeur,destructor,torpédoborec,Zerstörer,niszczyciel
diesel truck,camion diesel,camión diesel,nákladní automobil s dieselovým motorem,Diesel-LKW,ciężarówka z silnikiem wysokoprężnym
dinghy,canot pneumatique,bote,člun,Beiboot,ponton
dirigible,dirigeable,dirigible,vzducholoď,lenkbar,sterowiec
dirt bike,vélo tout-terrain,moto de cross,terénní kolo,Dirtbike,dirt bike
diving bell,cloche de plongée,campana de buceo,potápěčský zvon,Taucherglocke,dzwon nurkowy
dog cart,chariot pour chiens,carro para perros,vozík pro psy,Hundewagen,wózek dla psa
dogsled,traîneau à chiens,trineo tirado por perros,psí spřežení,Hundeschlitten,psi zaprzęg
donkey cart,charrette à âne,carro tirado por burros,oslí povoz,Eselskarren,wózek z osłem
dray,dray,dray,Dray,dray,dray
driver,conducteur,conductor,řidič,Fahrer,kierowca
dugout canoe,pirogue,piragua,dugout kánoe,Einbaumkanu,czółno
dump truck,camion-benne,volquete,sklápěč,Kipplaster,wywrotka
earth mover,engin de terrassement,movimiento de tierras,zemní stroje,Erdbewegungsmaschine,robot ziemny
eighteen-wheeler,dix-huit roues,vehículo de dieciocho ruedas,osmnáctikolka,Achtzehnrädrige Fahrzeuge,osiemnastokołowiec
electric car,voiture électrique,coche eléctrico,elektromobil,Elektroauto,samochód elektryczny
elevated railroad,chemin de fer surélevé,ferrocarril elevado,nadzemní dráha,Hochbahn,podwyższona linia kolejowa
elevator,ascenseur,ascensor,výtah,Aufzug,winda
engine,moteur,motor,motor,Motor,silnik
escalator,escalator,escalera mecánica,eskalátor,Rolltreppe,schody ruchome
express train,train express,tren exprés,expresní vlak,Schnellzug,pociąg ekspresowy
ferry,bac,transbordador,trajekt,Fähre,prom
fire engine,camion de pompiers,camión de bomberos,hasičské auto,Feuerwehrauto,wóz strażacki
fireboat,bateau-feu,barco de bomberos,hasičský člun,Feuerlöschboot,łódź strażacka
fishing boat,bateau de pêche,barco de pesca,rybářská loď,Fischerboot,łódź rybacka
flatbed truck,camion à plate-forme,camión de plataforma,nákladní automobil s plošinou,Pritschenwagen,ciężarówka z platformą
forklift,chariot élévateur,carretilla elevadora,vysokozdvižný vozík,Gabelstapler,wózek widłowy
four-by-four,quatre par quatre,cuatro por cuatro,four-by-four,.,cztery na cztery
four-door,quatre portes,cuatro puertas,čtyřdveřový,viertürig,czterodrzwiowy
four-wheel drive,quatre roues motrices,tracción a las cuatro ruedas,pohon všech kol,Allradantrieb,napęd na cztery koła
freight train,train de marchandises,tren de mercancías,nákladní vlak,Güterzug,pociąg towarowy
freighter,cargo,carguero,nákladní loď,Frachter,frachtowiec
frigate,frégate,fragata,fregata,Fregatte,fregata
funicular railway,funiculaire,funicular,lanová dráha,Standseilbahn,kolej linowa
galleon,galion,galeón,galeona,Galeone,galeon
garbage truck,camion à ordures,camión de la basura,popelářský vůz,Müllwagen,śmieciarka
glider,planeur,planeador,kluzák,Segelflugzeug,szybowiec
go-cart,kart,go-cart,go-cart,Go-Kart,gokart
golf cart,voiturette de golf,carrito de golf,golfový vozík,Golfwagen,wózek golfowy
gondola,gondole,góndola,gondola,Gondel,gondola
gondola lift,télécabine,telecabina,gondolová lanovka,Gondelbahn,wyciąg gondolowy
gridlock,blocage,atasco,gridlock,Verkehrsstillstand,blokada
handcar,voiture à main,carro de mano,ruční vozík,Draisine,samochód ręczny
hang glider,deltaplane,ala delta,rogalo,Drachenflieger,lotnia
hansom cab,fiacre,taxi,taxík,Pferdedroschke,taksówka
hardtop,toit rigide,techo duro,pevná střecha,Hardtop,hardtop
harvester,moissonneuse,cosechadora,harvester,Mähdrescher,kombajn
hatchback,à hayon,portón trasero,hatchback,Schrägheck,hatchback
haul,hélice,transportar,tahat,Beutezug,zaciąg
hay wagon,charrette à foin,carro de heno,vůz na seno,Heuwagen,wóz z sianem
hearse,corbillard,coche fúnebre,pohřební vůz,Leichenwagen,karawan
helicopter,hélicoptère,helicóptero,vrtulník,Hubschrauber,helikopter
hook and ladder truck,camion à crochets et à échelles,camión de gancho y escalera,hákový a žebříkový vůz,Haken- und Leiterwagen,hakowiec i wóz drabiniasty
hot rod,hot rod,bólido,hot rod,Hot Rod,hot rod
hot-air balloon,ballon à air chaud,globo aerostático,horkovzdušný balón,Heißluftballon,balon na ogrzane powietrze
houseboat,péniche,casa flotante,hausbót,Hausboot,barka
hovercraft,aéroglisseur,aerodeslizador,vznášedlo,Luftkissenfahrzeug,poduszkowiec
hull,coque,casco,trup,Rumpf,kadłub
Humvee,Humvee,Humvee,Humvee,Humvee,Humvee
hybrid,hybride,híbrido,hybridní,hybrid,hybryda
hydrofoil,hydroptère,hidroala,hydrofoil,Tragflächenboot,wodolot
hydroplane,hydravion,hidroavión,hydroplán,Wasserflugzeug,hydroplan
ice boat,bateau de glace,barco de hielo,ledová loď,Eisboot,łódź lodowa
ice breaker,brise-glace,rompehielos,prolomení ledů,Eisbrecher,lodołamacz
jalopy,baladeur,cacharro,jalopy,.,jalopy
