word,FR,ES,CS,DE,PL
amphora,amphore,ánfora,amfora,Amphore,amfora
attachÃ© case,Attaché-case,maletín,kufřík s přílohami,Aktenkoffer,attaché case
backpack,sac à dos,mochila,batoh,Rucksack,plecak
bag,sac,bolsa,sáček,Tasche,torba
baggage,bagage,equipaje,zavazadla,Reisegepäck,bagaż
barrel,tonneau,barril,sud,Fass,beczka
basin,bassin,cuenca,povodí,Einzugsgebiet,dorzecze
basket,panier,cesta,koš,Korb,kosz
beaker,bécher,vaso,kádinka,Becherglas,zlewka
bin,bin,papelera,bin,bin,kosz
bottle,bouteille,botella,láhev,Flasche,butelka
bowl,bol,cuenco,miska,Schale,miska
box,boîte,caja,box,Box,pudełko
briefcase,mallette,maletín,kufřík,Aktentasche,teczka
bucket,seau,cubo,kbelík,Eimer,wiadro
cabinet,cabinet,armario,skříň,Schrank,szafka
can,peut,puede,může,kann,może
canister,boîte,bote,kanystr,Kanister,kanister
canteen,cantine,comedor,jídelna,Kantine,stołówka
carafe,carafe,jarra,karafa,Karaffe,karafka
carrier,porteur,portador,nosič,Träger,przewoźnik
carryall,porter,carryall,carryall,carryall,carryall
carton,carton,cartón,karton,karton,karton
case,cas,caso,případ,Fall,przypadek
cask,tonneau,barrica,sud,Fass,beczka
casket,cercueil,ataúd,rakev,Schatulle,trumna
chest,poitrine,pecho,hrudník,Brust,skrzynia
coffer,caisson,cofre,kazeta,coffer,kaseton
compote,compote,compota,kompot,Kompott,kompot
cone,cône,cono,kužel,Kegel,stożek
container,contenant,contenedor,kontejner,Container,pojemnik
cooler,refroidisseur,refrigerador,chladič,Kühler,chłodnica
crate,caisse,caja,bedna,Kiste,skrzynia
crock,crock,crock,crock,Topf,garnek
cruet,cruet,cruet,cruet,cruet,cruet
cube,cube,cubo,kostka,Würfel,kostka
depository,dépositaire,depositario,depozitář,Verwahrstelle,depozyt
dish,plat,plato,miska,Gericht,danie
drawer,tiroir,cajón,zásuvka,Schublade,szuflada
drum,tambour,tambor,buben,Trommel,bęben
enclosure,enceinte,recinto,skříň,Gehäuse,obudowa
envelope,enveloppe,sobre,obálka,Umschlag,koperta
ewer,ewer,ewer,ewer,ewer,ewer
file folder,dossier de fichiers,carpeta de archivos,složka souboru,Dateiordner,folder plików
flask,flacon,matraz,baňka,Fläschchen,kolba
folder,dossier,carpeta,složka,Ordner,folder
garbage can,poubelle,cubo de basura,odpadkový koš,Mülleimer,śmietnik
glass,verre,vidrio,sklo,Glas,szkło
goblet,gobelet,copa,pohár,Kelch,kielich
grocery bag,sac d'épicerie,bolsa de supermercado,sáček na potraviny,Einkaufstüte,torba spożywcza
hamper,panier,cesta,koš na prádlo,hamper,kosz
handbag,sac à main,bolso,kabelka,Handtasche,torebka
holder,titulaire,titular,držitel,Halter,posiadacz
hopper,trémie,tolva,násypka,Trichter,zbiornik
hutch,clapier,conejera,hutch,hutch,sprzęgło
ice bucket,seau à glace,cubitera,kbelík na led,Eiskübel,pojemnik na lód
jar,jar,tarro,jar,jar,słoik
jug,jug,jarra,džbán,Krug,dzbanek
knapsack,sac à dos,mochila,batoh,Rücksack,plecak
locker,casier,taquilla,skříňka,Schließfach,szafka
luggage,bagages,equipaje,zavazadla,Gepäck,bagaż
lunchbox,boîte à lunch,lonchera,krabička na oběd,Brotdose,lunchbox
milk crate,caisse de lait,caja de leche,bedna na mléko,Milchkiste,skrzynka na mleko
packet,paquet,paquete,paket,Paket,pakiet
pail,seau,cubo,kbelík,Eimer,wiadro
pan,pan,sartén,pan,pan,patelnia
paper bag,sac en papier,bolsa de papel,papírový sáček,Papiertüte,torba papierowa
plastic bag,sac en plastique,bolsa de plástico,plastový sáček,Plastiktüte,plastikowa torba
plate,plaque,placa,deska,Platte,płyta
pocket,poche,bolsillo,kapesní,Tasche,kieszeń
pod,nacelle,vaina,pod,pod,pod
pot,pot,olla,hrnec,Topf,pula
pouch,poche,bolsa,sáček,Beutel,woreczek
purse,porte-monnaie,bolso,kabelka,Geldbörse,torebka
rack,rack,rack,rack,Gestell,stojak
receptacle,réceptacle,receptáculo,nádoba,Gefäß,gniazdo
sack,sac,saco,pytel,sack,worek
saddlebag,sacoche,alforja,sedlová brašna,Satteltasche,pokrowiec na siodło
satchel,sacoche,satchel,satchel,satchel,tornister
saucer,soucoupe,platillo,talíř,Untertasse,spodek
stein,stein,stein,stein,stein,stein
suitcase,valise,maleta,kufr,Koffer,walizka
test tube,éprouvette,probeta,zkumavka,Reagenzglas,probówka
tin,étain,estaño,cín,Zinn,puszka
tote,fourre-tout,tote,tote,tote,torba
trash bin,poubelle,papelera,koš na odpadky,Mülleimer,kosz na śmieci
tray,plateau,bandeja,zásobník,Tablett,taca
trunk,coffre,maletero,kmen,Kofferraum,pień
tub,baignoire,bañera,vana,Wanne,wanna
tube,tube,tubo,trubka,Rohr,tuba
tun,tun,tun,tun,tun,tun
tureen,tureen,tureen,mísy,tureen,tureen
urn,urn,urn,urn,urn,urna
vase,vase,jarrón,váza,Vase,wazon
vat,vat,iva,vat,vat,vat
vault,voûte,bóveda,trezor,Tresor,skarbiec
vesicle,vésicule,vesícula,vezikuly,Bläschen,pęcherzyk
vessel,navire,recipiente,nádoba,Gefäß,statek
vial,flacon,vial,lahvička,Fläschchen,fiolka
wastebasket,corbeille à papier,papelera,odpadkový koš,Papierkorb,kosz na śmieci
water bottle,bouteille d'eau,botella de agua,láhev na vodu,Wasserflasche,butelka na wodę
